gridg0,grid_label,total_checklists,wetland_checklists,non_wetland_checklists,wetland_proportion,mean_wetland_probability,n_timegroups,wetland_timegroups
100295,wetland,1,1,0,1.0,0.89526695,1,2020
100296,non-wetland,1,0,1,0.0,0.19666235,1,
100297,non-wetland,2,0,2,0.0,2.2805018e-06,1,
100298,wetland,2,1,1,0.5,0.4313535902715,1,2023
100300,wetland,1,1,0,1.0,0.5779952,1,2025
100301,wetland,2,1,1,0.5,0.371357043692,2,2019
100302,non-wetland,3,0,3,0.0,0.00017999039433333334,1,
100303,wetland,78,28,50,0.358974358974359,0.3449065965372051,11,"2015, 2021, 2022, 2023"
100304,wetland,26,5,21,0.19230769230769232,0.18288788342788462,10,"2015, 2019"
100305,wetland,12,3,9,0.25,0.163189852505,3,2018
100306,non-wetland,7,0,7,0.0,0.0015579901693285713,3,
100307,non-wetland,12,0,12,0.0,0.024609997140666667,3,
100310,wetland,10,1,9,0.1,0.12496429208000001,5,2023
100311,wetland,136,58,78,0.4264705882352941,0.41453384253253234,9,"2020, 2023, 2024, 2025"
100312,non-wetland,1,0,1,0.0,4.5287637e-05,1,
100313,wetland,4,2,2,0.5,0.28605442950000004,2,2015
100314,wetland,144,10,134,0.06944444444444445,0.15742708904011804,8,2017
100315,non-wetland,4,0,4,0.0,0.0392285085,2,
100316,wetland,27,6,21,0.2222222222222222,0.20920529970456667,3,2020
100317,wetland,33,11,22,0.3333333333333333,0.3348952384278182,4,2021
100318,non-wetland,26,2,24,0.07692307692307693,0.12247658573605769,4,
100319,non-wetland,12,0,12,0.0,0.21633443543833333,3,
100320,non-wetland,3,0,3,0.0,0.05666667,1,
100321,non-wetland,1,0,1,0.0,0.14941515,1,
100322,non-wetland,1,0,1,0.0,0.010833333,1,
100323,non-wetland,2,0,2,0.0,0.037319541,1,
100324,non-wetland,1,0,1,0.0,0.037250362,1,
100327,wetland,1,1,0,1.0,0.88766515,1,2007-2010
100329,wetland,2,1,1,0.5,0.36821739,1,2019
100330,non-wetland,3,1,2,0.3333333333333333,0.31550218999999996,1,
100333,non-wetland,1,0,1,0.0,0.058917403,1,
100334,non-wetland,1,0,1,0.0,0.0,1,
100338,non-wetland,1,0,1,0.0,5.267957e-05,1,
100340,non-wetland,77,2,75,0.025974025974025976,0.028851168610093507,3,
100341,non-wetland,6,0,6,0.0,0.0,1,
100343,wetland,3,3,0,1.0,0.89829946,1,2017
100344,wetland,12,6,6,0.5,0.4890186008333333,2,2024
100345,non-wetland,1,0,1,0.0,0.0,1,
100347,non-wetland,42,2,40,0.047619047619047616,0.029816956189166667,4,
100348,non-wetland,115,0,115,0.0,0.007801155122592174,10,
100349,non-wetland,51,4,47,0.0784313725490196,0.07310821549272353,8,
100350,non-wetland,5,0,5,0.0,1.91861857e-05,2,
100351,non-wetland,74,0,74,0.0,0.002834160850691892,6,
100352,non-wetland,269,3,266,0.011152416356877323,0.021734418367865427,7,
100353,wetland,81,5,76,0.06172839506172839,0.1265688915632716,6,"2021, 2023"
100354,non-wetland,1045,105,940,0.10047846889952153,0.1135295455600801,10,
100355,wetland,149,87,62,0.5838926174496645,0.5249940313235033,8,"2021, 2022, 2024, 2025"
100356,wetland,8,2,6,0.25,0.20805333125,4,"2023, 2025"
100357,wetland,2,1,1,0.5,0.538520205,2,2025
100358,wetland,7,2,5,0.2857142857142857,0.262184706,3,2017
100359,non-wetland,1,0,1,0.0,0.0002649289,1,
100361,wetland,5,1,4,0.2,0.181239112,2,2022
100363,wetland,45,16,29,0.35555555555555557,0.37466242045171116,10,"2015, 2022, 2023, 2025"
100364,wetland,246,202,44,0.8211382113821138,0.7414310808080894,11,"2014, 2016, 2017, 2018, 2020, 2021, 2022, 2023, 2024, 2025"
100365,wetland,309,241,68,0.7799352750809061,0.6556192589156083,15,"2007-2010, 2011-2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
100366,wetland,153,108,45,0.7058823529411765,0.630391044182438,11,"2015, 2017, 2018, 2020, 2021, 2022, 2023, 2024"
100367,wetland,26,13,13,0.5,0.4160727360205,7,"2014, 2022, 2024, 2025"
100894,wetland,5,2,3,0.4,0.504164078,3,2022
100895,wetland,1,1,0,1.0,0.8175532,1,2022
100896,non-wetland,19,0,19,0.0,0.011251810895721052,2,
100897,non-wetland,10,0,10,0.0,0.013795364106200001,4,
100899,non-wetland,21,0,21,0.0,0.005277971500295238,3,
100900,non-wetland,3,0,3,0.0,0.020432894773333335,3,
100902,non-wetland,4,0,4,0.0,0.008127085805,2,
100906,wetland,60,28,32,0.4666666666666667,0.3939893460341667,8,"2021, 2023, 2024, 2025"
100907,non-wetland,20,0,20,0.0,0.012098580217390001,7,
100908,non-wetland,5,0,5,0.0,0.0081796726876,2,
100909,non-wetland,3,0,3,0.0,0.010482746766666667,3,
100911,non-wetland,1,0,1,0.0,0.0019069727,1,
100912,wetland,87,34,53,0.39080459770114945,0.3919595137333333,12,"2007-2010, 2016, 2017, 2020, 2023"
100913,non-wetland,1,0,1,0.0,0.008955334,1,
100914,non-wetland,13,1,12,0.07692307692307693,0.16515884786624616,3,
100915,wetland,22,9,13,0.4090909090909091,0.3851463473151636,7,"2016, 2018, 2020, 2022"
100916,non-wetland,560,30,530,0.05357142857142857,0.06127565658261339,10,
100917,wetland,21,4,17,0.19047619047619047,0.21628312489047619,6,"2015, 2025"
100918,wetland,10,3,7,0.3,0.262639535608,4,2021
100919,wetland,2,1,1,0.5,0.2551411115,1,2024
100920,non-wetland,1,0,1,0.0,0.01,1,
100921,non-wetland,6,0,6,0.0,0.047702421780000004,3,
100922,wetland,1,1,0,1.0,0.9001101,1,2023
100924,non-wetland,3,0,3,0.0,6.0073606e-05,1,
100925,non-wetland,1,0,1,0.0,0.24233757,1,
100926,non-wetland,1,0,1,0.0,0.025611075,1,
100927,wetland,15,14,1,0.9333333333333333,0.8248369945333334,5,"2020, 2023, 2024, 2025"
100928,wetland,9,1,8,0.1111111111111111,0.2713825911111111,3,2023
100929,non-wetland,5,0,5,0.0,0.014199295002000002,3,
100931,wetland,5,4,1,0.8,0.64086876,4,"2021, 2022, 2023"
100935,non-wetland,1,0,1,0.0,7.4990626e-06,1,
100937,non-wetland,1,0,1,0.0,0.015800763,1,
100940,wetland,1,1,0,1.0,0.95821184,1,2023
100943,non-wetland,3,0,3,0.0,0.004657951433333334,2,
100944,wetland,63,13,50,0.20634920634920634,0.2211043018236508,8,2024
100945,wetland,25,24,1,0.96,0.65436828628572,4,"2014, 2020, 2025"
100947,non-wetland,2,0,2,0.0,0.031651900999999996,1,
100950,non-wetland,2,0,2,0.0,0.0017482224,1,
100951,wetland,4,1,3,0.25,0.415372935,2,2019
100952,non-wetland,4,0,4,0.0,4.07298775e-07,1,
100953,non-wetland,587,4,583,0.0068143100511073255,0.033612342030597445,9,
100954,non-wetland,766,15,751,0.0195822454308094,0.044919552871006393,16,
100955,non-wetland,5,0,5,0.0,0.0,1,
100956,non-wetland,32,0,32,0.0,0.015037222257546876,3,
100957,non-wetland,128,2,126,0.015625,0.02050365577123672,5,
100958,non-wetland,3,0,3,0.0,0.30701394666666665,2,
100959,wetland,3,3,0,1.0,0.80172118,1,2019
100961,non-wetland,4,0,4,0.0,5.3850295e-06,1,
100962,wetland,26,17,9,0.6538461538461539,0.5392553041102846,6,"2017, 2021, 2022, 2023, 2025"
100963,wetland,27,10,17,0.37037037037037035,0.36581888177777777,5,"2023, 2025"
100964,wetland,197,50,147,0.25380710659898476,0.31009579399043957,8,2017
100965,wetland,6,2,4,0.3333333333333333,0.35743702666666666,2,2024
100966,wetland,7,1,6,0.14285714285714285,0.08237114342857144,2,2024
100967,wetland,44,16,28,0.36363636363636365,0.2710025547269432,8,"2023, 2024, 2025"
100968,wetland,3,1,2,0.3333333333333333,0.17537484256503333,2,2024
100980,wetland,4,2,2,0.5,0.4166893735,2,2016
100981,non-wetland,4,0,4,0.0,0.14360461692499998,2,
100987,non-wetland,3,0,3,0.0,0.0011387843291666667,1,
100991,non-wetland,6,0,6,0.0,1.0677551000000001e-06,1,
100992,wetland,6,6,0,1.0,0.7534449,1,2021
100994,wetland,17,6,11,0.35294117647058826,0.2593156730242353,3,2021
100995,non-wetland,1,0,1,0.0,0.13308094,1,
100999,non-wetland,13,0,13,0.0,0.010583141805307693,5,
101000,non-wetland,38,0,38,0.0,0.009012602422368421,5,
101001,non-wetland,771,0,771,0.0,0.0026225399306875484,8,
101002,non-wetland,1,0,1,0.0,0.0,1,
101003,non-wetland,132,0,132,0.0,0.012962074887235607,3,
101004,non-wetland,3701,423,3278,0.11429343420697109,0.1603061174081213,10,
101005,wetland,203,43,160,0.21182266009852216,0.3017682777054187,7,2025
101006,wetland,17,3,14,0.17647058823529413,0.30532877341405884,7,2021
101007,non-wetland,7,0,7,0.0,0.10985960228571427,3,
101008,wetland,1,1,0,1.0,0.67209125,1,2022
101012,wetland,1,1,0,1.0,0.6308235,1,2015
101013,wetland,25,23,2,0.92,0.734738632,7,"2015, 2017, 2019, 2022, 2023, 2024"
101014,wetland,18,12,6,0.6666666666666666,0.6244113922222223,6,"2016, 2018, 2022, 2024, 2025"
101015,wetland,34,27,7,0.7941176470588235,0.6335174664705883,4,"2021, 2022, 2024, 2025"
101016,wetland,31,14,17,0.45161290322580644,0.41944692305607095,4,"2024, 2025"
101544,wetland,12,4,8,0.3333333333333333,0.31605853637,6,"2015, 2024"
101545,non-wetland,1,0,1,0.0,0.0102088805,1,
101547,non-wetland,24,0,24,0.0,0.004991325297875,4,
101548,non-wetland,14,0,14,0.0,0.02709712572421429,3,
101549,non-wetland,3,0,3,0.0,0.011903744,1,
101551,non-wetland,3,0,3,0.0,0.004222825831333333,1,
101552,non-wetland,11,1,10,0.09090909090909091,0.08417359222256364,3,
101553,wetland,21,5,16,0.23809523809523808,0.2056204451871429,9,"2021, 2024"
101555,non-wetland,26,0,26,0.0,0.009246729609492308,6,
101556,non-wetland,81,0,81,0.0,0.008323715038092592,9,
101557,non-wetland,5,0,5,0.0,0.025143120033,4,
101560,non-wetland,5,0,5,0.0,0.012450505483,3,
101562,non-wetland,1,0,1,0.0,0.083415836,1,
101563,wetland,19,6,13,0.3157894736842105,0.29451716391052635,8,"2011-2012, 2016, 2018, 2023"
101565,wetland,13,11,2,0.8461538461538461,0.7059907442538461,4,"2020, 2024, 2025"
101566,wetland,31,10,21,0.3225806451612903,0.28476931538808065,6,"2021, 2023"
101567,wetland,72,17,55,0.2361111111111111,0.25236125621193195,5,"2021, 2022, 2025"
101568,wetland,43,13,30,0.3023255813953488,0.28746095479613254,6,"2020, 2023"
101574,wetland,13,5,8,0.38461538461538464,0.3384496760301538,3,"2018, 2025"
101575,non-wetland,4,0,4,0.0,0.06134696785,1,
101577,non-wetland,1,0,1,0.0,0.0,1,
101578,wetland,3,1,2,0.3333333333333333,0.24741476133333332,2,2023
101580,wetland,40,1,39,0.025,0.0698809436712475,5,2024
101581,non-wetland,6,0,6,0.0,0.051829805588250004,3,
101586,wetland,1,1,0,1.0,0.8176758,1,2022
101589,non-wetland,1,0,1,0.0,0.023803107,1,
101590,wetland,8,5,3,0.625,0.4877547525,1,2020
101591,non-wetland,4,0,4,0.0,0.086646245,2,
101592,non-wetland,9,0,9,0.0,0.054529921508888884,5,
101593,wetland,18,2,16,0.1111111111111111,0.16159037307852778,8,"2013, 2014"
101594,wetland,5,2,3,0.4,0.2703391435022,3,2022
101595,non-wetland,1,0,1,0.0,0.0,1,
101596,non-wetland,3,0,3,0.0,0.13000220666666665,2,
101598,wetland,3,2,1,0.6666666666666666,0.6460582866666668,2,2025
101600,non-wetland,5,0,5,0.0,0.06173683249999999,1,
101601,non-wetland,9,0,9,0.0,0.015319014564133334,2,
101603,wetland,20,13,7,0.65,0.47888955295147506,7,"2019, 2022, 2023, 2025"
101604,non-wetland,4,0,4,0.0,0.00822858735,2,
101607,wetland,26,2,24,0.07692307692307693,0.10937770571307692,6,"2021, 2024"
101608,wetland,3,1,2,0.3333333333333333,0.3260640244333333,3,2025
101609,wetland,9,3,6,0.3333333333333333,0.30392091973333335,4,"2022, 2025"
101610,wetland,40,10,30,0.25,0.2674972310721,10,2024
101612,wetland,8,5,3,0.625,0.5483172429750001,3,"2018, 2025"
101613,non-wetland,8,0,8,0.0,0.06060376984725,3,
101614,wetland,76,19,57,0.25,0.2366576367697079,6,2021
101615,non-wetland,3,0,3,0.0,0.0045862884,2,
101616,non-wetland,21,0,21,0.0,0.05963508335722857,4,
101617,non-wetland,18,0,18,0.0,0.13571009302555556,3,
101618,wetland,2,1,1,0.5,0.32260528055,2,2019
101620,non-wetland,3,0,3,0.0,0.10399346,1,
101621,non-wetland,2,0,2,0.0,0.17549218,1,
101625,non-wetland,1,0,1,0.0,1.6291951e-06,1,
101629,non-wetland,6,0,6,0.0,0.008783599193333333,3,
101632,non-wetland,4,0,4,0.0,0.054777351739999994,2,
101633,non-wetland,2,0,2,0.0,0.0,1,
101634,non-wetland,3,0,3,0.0,0.0029923022866666666,1,
101635,non-wetland,1,0,1,0.0,0.021833334,1,
101637,wetland,1,1,0,1.0,0.7597803,1,2021
101642,non-wetland,14,0,14,0.0,0.0159861175,2,
101645,non-wetland,325,0,325,0.0,0.006648783346116307,10,
101646,non-wetland,7,0,7,0.0,0.0017582417585714286,5,
101649,non-wetland,3,0,3,0.0,0.00041970080406666667,1,
101650,non-wetland,11,0,11,0.0,0.0006322731986454545,4,
101652,wetland,88,1,87,0.011363636363636364,0.01907598989133068,4,2021
101653,non-wetland,106,10,96,0.09433962264150944,0.17256776577373775,3,
101654,non-wetland,457,27,430,0.05908096280087528,0.16098723218645253,6,
101655,wetland,139,75,64,0.539568345323741,0.44785837361655395,5,"2019, 2021, 2022, 2025"
101657,non-wetland,5,1,4,0.2,0.24716735588,2,
101658,wetland,1,1,0,1.0,0.581061,1,2014
101661,wetland,4,2,2,0.5,0.478633948,1,2025
101662,wetland,14,6,8,0.42857142857142855,0.40361043964285714,5,"2023, 2025"
101665,wetland,6,6,0,1.0,0.67231732,2,"2021, 2024"
101666,wetland,9,9,0,1.0,0.8544209444444444,2,"2019, 2024"
101667,non-wetland,2,0,2,0.0,0.20720640299999998,1,
101668,wetland,2,2,0,1.0,0.878304915,2,"2018, 2025"
102193,wetland,13,5,8,0.38461538461538464,0.4277466590486923,4,"2020, 2022, 2023"
102194,wetland,79,8,71,0.10126582278481013,0.18437336543692404,7,"2016, 2018"
102195,non-wetland,5,0,5,0.0,0.09482569748,3,
102196,non-wetland,4,0,4,0.0,0.0298131475,1,
102197,non-wetland,438,1,437,0.00228310502283105,0.02629684797021895,12,
102198,non-wetland,298,7,291,0.02348993288590604,0.048509694429445305,14,
102199,non-wetland,67,0,67,0.0,0.0164372219364403,13,
102200,non-wetland,3,0,3,0.0,0.11567042904000001,2,
102201,non-wetland,1,0,1,0.0,0.00021318058,1,
102202,non-wetland,13,0,13,0.0,0.004124442824507692,4,
102203,wetland,25,2,23,0.08,0.137604118706256,8,2016
102204,non-wetland,1,0,1,0.0,0.04649553,1,
102205,non-wetland,4,0,4,0.0,0.017291456,1,
102206,non-wetland,2,0,2,0.0,0.20272313825000002,1,
102207,non-wetland,3,0,3,0.0,0.07082001971,2,
102208,non-wetland,4,0,4,0.0,0.0029547246845000002,1,
102210,wetland,2,2,0,1.0,0.8487577,2,"2024, 2025"
102211,non-wetland,4,0,4,0.0,0.01117628126,2,
102213,non-wetland,260,21,239,0.08076923076923077,0.08405087917558346,12,
102214,wetland,15,8,7,0.5333333333333333,0.38818785921199994,9,"2016, 2017, 2019, 2020, 2024"
102215,wetland,35,10,25,0.2857142857142857,0.38995634237142857,6,2023
102216,wetland,8,3,5,0.375,0.38641351502875,5,"2021, 2023, 2025"
102217,wetland,119,31,88,0.2605042016806723,0.3068510422322,11,"2016, 2017, 2018, 2019, 2021"
102218,wetland,158,12,146,0.0759493670886076,0.07327156795386962,7,2018
102219,non-wetland,25,1,24,0.04,0.0537011439637,3,
102220,non-wetland,14,1,13,0.07142857142857142,0.15497898243584288,3,
102221,wetland,15,5,10,0.3333333333333333,0.2949990777313333,4,2023
102222,non-wetland,14,2,12,0.14285714285714285,0.16819154247357143,3,
102223,wetland,16,7,9,0.4375,0.468686378,4,"2022, 2023"
102224,wetland,34,14,20,0.4117647058823529,0.384384392125147,5,"2022, 2023"
102225,wetland,22,4,18,0.18181818181818182,0.17099802912307727,4,2018
102227,wetland,1,1,0,1.0,0.7358982,1,2018
102228,wetland,19,8,11,0.42105263157894735,0.4646477874210526,3,"2022, 2024"
102229,wetland,16,10,6,0.625,0.44431782994975,3,"2022, 2023"
102231,non-wetland,1,0,1,0.0,0.054476146,1,
102232,non-wetland,8,0,8,0.0,0.149048090125,3,
102235,non-wetland,10,0,10,0.0,4.16118698e-06,1,
102237,non-wetland,2,0,2,0.0,0.0068833105500000005,2,
102240,non-wetland,1,0,1,0.0,0.01002809,1,
102241,non-wetland,6,0,6,0.0,0.01581855367,2,
102247,non-wetland,1,0,1,0.0,0.38909194,1,
102249,non-wetland,4,0,4,0.0,0.029885155,2,
102250,wetland,1,1,0,1.0,0.9023508,1,2019
102251,wetland,7,3,4,0.42857142857142855,0.37422800285714286,4,"2019, 2023"
102252,wetland,1,1,0,1.0,0.91794705,1,2019
102253,non-wetland,3,0,3,0.0,0.0022240173431666665,1,
102254,non-wetland,23,0,23,0.0,0.07348399813428261,3,
102255,non-wetland,9,0,9,0.0,0.1202125614143889,3,
102257,non-wetland,1,0,1,0.0,0.045530394,1,
102258,wetland,7,7,0,1.0,0.6295906228571428,2,"2017, 2023"
102261,non-wetland,11,0,11,0.0,0.02699136531177273,5,
102262,wetland,8,6,2,0.75,0.66097417,3,"2023, 2024"
102263,non-wetland,10,0,10,0.0,0.095905657,5,
102264,non-wetland,488,32,456,0.06557377049180328,0.07909342852735819,5,
102265,wetland,12,6,6,0.5,0.492706921225,5,"2019, 2023, 2024"
102266,wetland,14,7,7,0.5,0.4481834577042857,4,"2021, 2024"
102267,non-wetland,1,0,1,0.0,0.14522222,1,
102269,wetland,4,2,2,0.5,0.5796560085,2,2019
102272,non-wetland,6,2,4,0.3333333333333333,0.3233564266666667,1,
102275,non-wetland,2,0,2,0.0,8.1459755e-07,2,
102277,non-wetland,1,0,1,0.0,0.007841949,1,
102278,wetland,20,6,14,0.3,0.294329563619275,4,"2013, 2017"
102279,non-wetland,6,0,6,0.0,0.23558595599999999,5,
102280,wetland,10,4,6,0.4,0.37191509,2,2025
102281,wetland,7,6,1,0.8571428571428571,0.601904557,4,"2020, 2024, 2025"
102283,non-wetland,3,0,3,0.0,0.008925753866666665,2,
102286,non-wetland,2,0,2,0.0,0.00426652375,1,
102294,wetland,4,2,2,0.5,0.28239805,2,2023
102295,non-wetland,9,0,9,0.0,0.0011288614050111111,3,
102298,non-wetland,1,0,1,0.0,0.0,1,
102300,non-wetland,1,0,1,0.0,0.00032371454,1,
102302,non-wetland,22,0,22,0.0,0.03216456468181818,2,
102303,non-wetland,26,2,24,0.07692307692307693,0.12266940023076923,2,
102305,non-wetland,1,0,1,0.0,0.4170568,1,
102308,wetland,4,4,0,1.0,0.6240732,1,2020
102309,non-wetland,3,0,3,0.0,0.3758979666666667,2,
102312,wetland,136,69,67,0.5073529411764706,0.4709138252066103,15,"before 2000, 2007-2010, 2011-2012, 2014, 2015, 2016, 2017, 2018, 2021, 2022, 2023"
102313,non-wetland,2,0,2,0.0,0.0025,1,
102315,wetland,5,3,2,0.6,0.523819088,1,2024
102317,wetland,3,3,0,1.0,0.7969138966666667,1,2025
102843,wetland,74,26,48,0.35135135135135137,0.3328484213924703,11,"2020, 2022, 2024, 2025"
102844,wetland,48,4,44,0.08333333333333333,0.12377679246239583,9,2016
102845,non-wetland,1,0,1,0.0,0.016473126,1,
102847,non-wetland,2,0,2,0.0,0.008333334,1,
102848,non-wetland,35,2,33,0.05714285714285714,0.11134461013028571,8,
102849,non-wetland,18,0,18,0.0,0.003928446504511111,7,
102850,wetland,10,3,7,0.3,0.1627037879854,5,2022
102851,non-wetland,3,0,3,0.0,4.311494556666666e-05,1,
102853,wetland,13,10,3,0.7692307692307693,0.524101123076923,2,"2022, 2023"
102854,non-wetland,69,10,59,0.14492753623188406,0.21370051618144928,4,
102855,non-wetland,1,0,1,0.0,0.08713884,1,
102856,non-wetland,17,0,17,0.0,0.024751502102941175,5,
102857,non-wetland,3,0,3,0.0,0.16901111363333335,2,
102861,wetland,18,1,17,0.05555555555555555,0.048273180875,4,2024
102862,non-wetland,9,0,9,0.0,0.0003727704738,2,
102863,wetland,2,2,0,1.0,0.74493308,2,"2018, 2021"
102864,wetland,60,13,47,0.21666666666666667,0.212681796707335,10,"2016, 2017, 2018"
102865,wetland,21,10,11,0.47619047619047616,0.40877197922999997,6,"2020, 2023, 2025"
102866,wetland,10,7,3,0.7,0.58706776639,5,"2020, 2022, 2024, 2025"
102867,wetland,10,4,6,0.4,0.316785179824,4,"2020, 2021, 2024"
102868,non-wetland,2,0,2,0.0,0.42837745,1,
102869,non-wetland,1,0,1,0.0,0.00015531323,1,
102870,non-wetland,5,0,5,0.0,0.03266722539999999,3,
102874,wetland,26,14,12,0.5384615384615384,0.5364700713076923,4,"2024, 2025"
102875,non-wetland,1,0,1,0.0,0.025180342,1,
102877,wetland,2,1,1,0.5,0.4608771,2,2015
102879,non-wetland,1,0,1,0.0,0.008,1,
102881,non-wetland,1,0,1,0.0,0.00014630114,1,
102882,non-wetland,2,0,2,0.0,0.09291795,1,
102883,non-wetland,3,0,3,0.0,0.06990259533333333,2,
102884,wetland,12,5,7,0.4166666666666667,0.44638753249999996,4,"2022, 2023"
102885,wetland,59,9,50,0.15254237288135594,0.1703098150249017,9,2022
102886,non-wetland,3,0,3,0.0,0.007972953,1,
102887,non-wetland,6,0,6,0.0,0.24238069666666665,3,
102888,non-wetland,3,0,3,0.0,0.10668325266666667,2,
102889,wetland,5,1,4,0.2,0.18729324883600001,3,2025
102890,non-wetland,8,0,8,0.0,0.023690781668525,3,
102893,non-wetland,1,0,1,0.0,0.0275,1,
102895,non-wetland,3,0,3,0.0,0.038413081999999994,2,
102900,non-wetland,2,0,2,0.0,0.010372865,1,
102901,wetland,14,7,7,0.5,0.41031938875985713,3,"2020, 2025"
102902,wetland,17,8,9,0.47058823529411764,0.44877053981088233,2,2025
102904,non-wetland,1,0,1,0.0,0.07738371,1,
102905,wetland,15,13,2,0.8666666666666667,0.791641522,2,"2024, 2025"
102906,non-wetland,2,0,2,0.0,0.001,1,
102907,non-wetland,5,0,5,0.0,0.0929121104,2,
102908,wetland,4,3,1,0.75,0.5916833675,2,2023
102909,non-wetland,1,0,1,0.0,0.021752136,1,
102911,wetland,8,4,4,0.5,0.410610025,1,2018
102912,wetland,13,5,8,0.38461538461538464,0.42258182238307695,6,"2017, 2018"
102913,non-wetland,3,0,3,0.0,0.05585332066666667,3,
102915,non-wetland,8,0,8,0.0,0.0061162505,4,
102916,wetland,5,2,3,0.4,0.33715233199999994,2,2021
102917,non-wetland,4,0,4,0.0,0.082777776,1,
102922,wetland,4,4,0,1.0,0.8864605,1,2024
102927,non-wetland,1,0,1,0.0,0.020833334,1,
102928,wetland,12,2,10,0.16666666666666666,0.22833012575,5,2013
102929,wetland,4,2,2,0.5,0.34304079,2,2020
102930,non-wetland,6,0,6,0.0,0.2417459335926667,2,
102931,wetland,6,4,2,0.6666666666666666,0.48587496,1,2024
102933,wetland,2,2,0,1.0,0.70986986,1,2024
102936,non-wetland,1,0,1,0.0,1.6291951e-06,1,
102941,wetland,3,3,0,1.0,0.78816205,1,2020
102952,non-wetland,18,0,18,0.0,0.015559909977777777,2,
102953,non-wetland,31,5,26,0.16129032258064516,0.13926478822580646,2,
102954,wetland,13,8,5,0.6153846153846154,0.38342584423076925,3,"2021, 2024"
102955,non-wetland,1,0,1,0.0,0.00034510004,1,
102960,wetland,10,10,0,1.0,0.864801434,2,"2020, 2025"
102962,non-wetland,5,2,3,0.4,0.3860913064,1,
102966,non-wetland,6,2,4,0.3333333333333333,0.3318867519,2,
102967,wetland,5,5,0,1.0,0.785775256,1,2025
102968,non-wetland,3,0,3,0.0,0.4249255,1,
103492,non-wetland,25,0,25,0.0,0.050865613478,1,
103493,wetland,22,3,19,0.13636363636363635,0.22435338364136365,7,"2018, 2023"
103494,non-wetland,4,0,4,0.0,0.048556103999999996,3,
103495,non-wetland,1,0,1,0.0,0.004379065,1,
103499,non-wetland,11,0,11,0.0,0.051833756345454535,5,
103500,non-wetland,97,4,93,0.041237113402061855,0.05101711138075773,9,
103501,wetland,12,1,11,0.08333333333333333,0.08842655526485,4,2024
103502,non-wetland,186,19,167,0.10215053763440861,0.1906597769292914,5,
