"Species","No_of_Subspecies"
"Porzana porzana",1
"Prinia atrogularis",1
"Prinia buchanani",1
"Prinia cinereocapilla",1
"Prinia crinigera",2
"Prinia flaviventris",2
"Prinia hodgsonii",3
"Prinia inornata",4
"Prinia khasiana",1
"Prinia lepida",2
"Prinia rufescens",1
"Prinia socialis",3
"Prinia superciliaris",1
"Prinia sylvatica",4
"Procarduelis nipalensis",2
"Prunella atrogularis",2
"Prunella collaris",3
"Prunella fulvescens",3
"Prunella himalayana",1
"Prunella immaculata",1
"Prunella rubeculoides",2
"Prunella strophiata",2
"Psarisomus dalhousiae",1
"Pseudibis papillosa",1
"Pseudopodoces humilis",1
"Psilopogon asiaticus",1
"Psilopogon cyanotis",1
"Psilopogon franklinii",1
"Psilopogon haemacephalus",1
"Psilopogon lineatus",1
"Psilopogon malabaricus",1
"Psilopogon virens",3
"Psilopogon viridis",1
"Psilopogon zeylanicus",3
"Psittacula alexandri",2
"Psittacula caniceps",1
"Psittacula columboides",1
"Psittacula cyanocephala",1
"Psittacula derbiana",1
"Psittacula eupatria",4
"Psittacula finschii",1
"Psittacula himalayana",1
"Psittacula krameri",2
"Psittacula longicauda",2
"Psittacula roseata",1
"Pterocles alchata",1
"Pterocles exustus",1
"Pterocles indicus",1
"Pterocles orientalis",1
"Pterocles senegallus",1
"Pterodroma baraui",1
"Pterorhinus albogularis",2
"Pterorhinus caerulatus",3
"Pterorhinus delesserti",1
"Pterorhinus galbanus",1
"Pterorhinus gularis",1
"Pterorhinus nuchalis",1
"Pterorhinus pectoralis",1
"Pterorhinus ruficollis",1
"Pterorhinus sannio",1
"Pterorhinus woodi",1
"Pteruthius aeralatus",2
"Pteruthius intermedius",1
"Pteruthius melanotis",1
"Pteruthius rufiventer",1
"Pteruthius xanthochlorus",3
"Ptyonoprogne concolor",1
"Ptyonoprogne rupestris",1
"Pucrasia macrolopha",5
"Puffinus bailloni",1
"Puffinus persicus",1
"Pycnonotus cafer",6
"Pycnonotus flavescens",1
"Pycnonotus jocosus",6
"Pycnonotus leucogenys",1
"Pycnonotus leucotis",1
"Pycnonotus luteolus",1
"Pycnonotus xantholaemus",1
"Pyrgilauda blanfordi",1
"Pyrgilauda ruficollis",1
"Pyrrhocorax graculus",1
"Pyrrhocorax pyrrhocorax",2
"Pyrrhoplectes epauletta",1
"Pyrrhula aurantiaca",1
"Pyrrhula erythaca",1
"Pyrrhula erythrocephala",1
"Pyrrhula nipalensis",3
"Rallina canningi",1
"Rallina eurizonoides",1
"Rallina fasciata",1
"Rallus aquaticus",1
"Rallus indicus",1
"Recurvirostra avosetta",1
"Regulus regulus",3
"Remiz coronatus",1
"Rhinoptilus bitorquatus",1
"Rhipidura albicollis",4
"Rhipidura albogularis",2
"Rhipidura aureola",3
"Rhodonessa caryophyllacea",1
"Rhodopechys sanguineus",1
"Rhodospiza obsoleta",1
"Rhyticeros narcondami",1
"Rhyticeros undulatus",1
"Riparia chinensis",1
"Riparia diluta",3
"Riparia riparia",2
"Rissa tridactyla",2
"Rostratula benghalensis",1
"Rubigula flaviventris",1
"Rubigula gularis",1
"Rynchops albicollis",1
"Salpornis spilonota",2
"Sarcogyps calvus",1
"Sarkidiornis melanotos",1
"Saroglossa spilopterus",1
"Sasia ochracea",2
"Saxicola caprata",4
"Saxicola ferreus",2
"Saxicola insignis",1
"Saxicola jerdoni",1
"Saxicola leucurus",1
"Saxicola macrorhynchus",1
"Saxicola maurus",3
"Saxicola rubetra",1
"Saxicola stejnegeri",1
"Schoenicola platyurus",1
"Schoenicola striatus",1
"Schoeniparus castaneceps",1
"Schoeniparus cinereus",1
"Schoeniparus dubius",1
"Schoeniparus rufogularis",2
"Scolopax rusticola",1
"Serilophus rubropygius",1
"Serinus pusillus",1
"Sholicola albiventris",2
"Sholicola major",1
"Sibirionetta formosa",1
"Sitta cashmirensis",1
"Sitta castanea",1
"Sitta cinnamoventris",3
"Sitta formosa",1
"Sitta frontalis",1
"Sitta himalayensis",1
"Sitta leucopsis",1
"Sitta nagaensis",2
"Sitta yunnanensis",1
"Spatula clypeata",1
"Spatula querquedula",1
"Spelaeornis badeigularis",1
"Spelaeornis caudatus",1
"Spelaeornis chocolatinus",1
"Spelaeornis longicaudatus",1
"Spelaeornis oatesi",1
"Spelaeornis troglodytoides",3
"Spilopelia chinensis",2
"Spilopelia senegalensis",2
"Spilornis cheela",4
"Spilornis elgini",1
"Spilornis klossi",1
"Spinus spinus",1
"Spinus thibetanus",1
"Spizixos canifrons",1
"Spodiopsar cineraceus",1
"Spodiopsar sericeus",1
"Stachyris humei",1
"Stachyris nigriceps",3
"Stachyris oglei",1
"Stachyris roberti",1
"Staphida castaniceps",3
"Stercorarius antarcticus",1
"Stercorarius longicaudus",1
"Stercorarius maccormicki",1
"Stercorarius parasiticus",1
"Stercorarius pomarinus",1
"Sterna acuticauda",1
"Sterna aurantia",1
"Sterna dougallii",2
"Sterna hirundo",3
"Sterna paradisaea",1
"Sterna repressa",1
"Sterna sumatrana",2
"Sternula albifrons",2
"Sternula saundersi",1
"Streptopelia decaocto",1
"Streptopelia orientalis",4
"Streptopelia tranquebarica",2
"Streptopelia turtur",1
"Strix aluco",1
"Strix leptogrammica",2
"Strix nivicolum",1
"Strix ocellata",3
"Sturnia blythii",1
"Sturnia erythropygia",3
"Sturnia malabarica",2
"Sturnia pagodarum",1
"Sturnia sinensis",1
"Sturnus vulgaris",5
"Sula dactylatra",2
"Sula leucogaster",1
"Sula sula",1
"Surniculus dicruroides",1
"Surniculus lugubris",1
"Suthora atrosuperciliaris",2
"Suthora fulvifrons",2
"Suthora nipalensis",5
"Sylvia atricapilla",1
"Sylvia borin",1
"Sylviparus modestus",2
"Synoicus chinensis",2
"Sypheotides indicus",1
"Syrmaticus humiae",1
"Syrrhaptes paradoxus",1
"Syrrhaptes tibetanus",1
"Taccocua leschenaultii",3
"Tachybaptus ruficollis",2
"Tachymarptis melba",4
"Tachyspiza badia",4
"Tachyspiza brevipes",1
"Tachyspiza butleri",2
"Tachyspiza gularis",1
"Tachyspiza soloensis",1
"Tachyspiza virgata",3
"Tadorna ferruginea",1
"Tadorna tadorna",1
"Taenioptynx brodiei",1
"Tarsiger chrysaeus",2
"Tarsiger cyanurus",1
"Tarsiger hyperythrus",1
"Tarsiger indicus",1
"Tarsiger rufilatus",2
"Tephrodornis pondicerianus",2
"Tephrodornis sylvicola",1
"Tephrodornis virgatus",1
"Terpsiphone affinis",2
"Terpsiphone incei",1
"Terpsiphone paradisi",2
"Tesia cyaniventer",1
"Tesia olivea",1
"Tetraogallus himalayensis",1
"Tetraogallus tibetanus",3
"Tetrax tetrax",1
"Thalasseus bengalensis",1
"Thalasseus bergii",3
"Thalasseus sandvicensis",1
"Thinornis dubius",2
"Thinornis placidus",1
"Threskiornis melanocephalus",1
"Tichodroma muraria",1
"Tickellia hodgsoni",1
"Timalia pileata",1
"Todiramphus chloris",4
"Tragopan blythii",2
"Tragopan melanocephalus",1
"Tragopan satyra",1
"Tragopan temminckii",1
"Treron affinis",1
"Treron apicauda",1
"Treron bicinctus",1
"Treron chloropterus",1
"Treron curvirostra",1
"Treron phayrei",2
"Treron phoenicopterus",2
"Treron sphenurus",1
"Tringa brevipes",1
"Tringa erythropus",1
"Tringa glareola",1
"Tringa guttifer",1
"Tringa nebularia",1
"Tringa ochropus",1
"Tringa stagnatilis",1
"Tringa totanus",5
"Trochalopteron affine",2
"Trochalopteron austeni",2
"Trochalopteron chrysopterum",4
"Trochalopteron elliotii",1
"Trochalopteron erythrocephalum",2
"Trochalopteron imbricatum",1
"Trochalopteron lineatum",3
"Trochalopteron squamatum",1
"Trochalopteron subunicolor",1
"Trochalopteron variegatum",2
"Trochalopteron virgatum",1
"Troglodytes troglodytes",2
"Turdus albocinctus",1
"Turdus atrogularis",1
"Turdus boulboul",1
"Turdus cardis",1
"Turdus dissimilis",1
"Turdus eunomus",1
"Turdus feae",1
"Turdus kessleri",1
"Turdus mandarinus",1
"Turdus maximus",1
"Turdus mupinensis",1
"Turdus naumanni",1
"Turdus obscurus",1
"Turdus philomelos",1
"Turdus pilaris",1
"Turdus rubrocanus",2
"Turdus ruficollis",1
"Turdus simillimus",3
"Turdus unicolor",1
"Turdus viscivorus",1
"Turnix suscitator",3
"Turnix sylvaticus",1
"Turnix tanki",2
"Tyto deroepstorffi",1
"Tyto javanica",1
"Tyto longimembris",1
"Upupa epops",3
"Urocissa erythroryncha",2
"Urocissa flavirostris",3
"Urosphena squameiceps",1
"Vanellus cinereus",1
"Vanellus duvaucelii",1
"Vanellus gregarius",1
"Vanellus indicus",2
"Vanellus leucurus",1
"Vanellus malabaricus",1
"Vanellus vanellus",1
"Xema sabini",1
"Xenus cinereus",1
"Yuhina bakeri",1
"Yuhina flavicollis",3
"Yuhina gularis",2
"Yuhina nigrimenta",1
"Yuhina occipitalis",1
"Yungipicus canicapillus",3
"Yungipicus nanus",3
"Zapornia akool",1
"Zapornia bicolor",1
"Zapornia fusca",2
"Zapornia parva",1
"Zapornia paykullii",1
"Zapornia pusilla",1
"Zoonavena sylvatica",1
"Zoothera aurea",1
"Zoothera dauma",1
"Zoothera dixoni",1
"Zoothera marginata",1
"Zoothera mollissima",1
"Zoothera monticola",1
"Zoothera neilgherriensis",1
"Zoothera salimalii",1
"Zosterops erythropleurus",1
"Zosterops palpebrosus",5
