eBird.English.Name.2022,eBird.Scientific.Name.2022,eBird.Code,Order,Family,SOIB.Concern.Status,SOIB.Long.Term.Status,SOIB.Current.Status,SOIB.Range.Status,Breeding.Activity.Period,Non.Breeding.Activity.Period,Diet.Guild,India.Endemic,Subcontinent.Endemic,Himalayas.Endemic,Endemic.Region,Habitat.Specialization,Migratory.Status.Within.India,Essential,Discard,Restricted.Islands,India.Checklist.Common.Name,India.Checklist.Scientific.Name,BLI.Common.Name,BLI.Scientific.Name,IUCN.Category,WPA.Schedule,CITES.Appendix,CMS.Appendix,Onepercent.Estimates
Black-bellied Plover,Pluvialis squatarola,bkbplo,Charadriiformes,Charadriidae (Plovers and Lapwings),Moderate,Strong Decline,Uncertain,Moderate,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Grey Plover,Pluvialis squatarola,Grey Plover,Pluvialis squatarola,Least Concern,Schedule-II,,Appendix II,300
European Golden-Plover,Pluvialis apricaria,eugplo,Charadriiformes,Charadriidae (Plovers and Lapwings),NA,NA,NA,NA,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,1,NA,Eurasian Golden Plover,Pluvialis apricaria,Eurasian Golden Plover,Pluvialis apricaria,Least Concern,Schedule-II,,Appendix II,
American Golden-Plover,Pluvialis dominica,amgplo,Charadriiformes,Charadriidae (Plovers and Lapwings),NA,NA,NA,NA,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Uncertain,NA,1,NA,American Golden Plover,Pluvialis dominica,American Golden Plover,Pluvialis dominica,Least Concern,Schedule-II,,Appendix II,
Pacific Golden-Plover,Pluvialis fulva,pagplo,Charadriiformes,Charadriidae (Plovers and Lapwings),High,Strong Decline,Strong Decline,Moderate,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Pacific Golden Plover,Pluvialis fulva,Pacific Golden Plover,Pluvialis fulva,Least Concern,Schedule-I,,Appendix II,
Northern Lapwing,Vanellus vanellus,norlap,Charadriiformes,Charadriidae (Plovers and Lapwings),Moderate,Data Deficient,Uncertain,Moderate,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Northern Lapwing,Vanellus vanellus,Northern Lapwing,Vanellus vanellus,Near Threatened,Schedule-II,,Appendix II,250
River Lapwing,Vanellus duvaucelii,rivlap1,Charadriiformes,Charadriidae (Plovers and Lapwings),Moderate,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Resident & Local Migrant,NA,NA,NA,River Lapwing,Vanellus duvaucelii,River Lapwing,Vanellus duvaucelii,Near Threatened,Schedule-II,,Appendix II,250
Yellow-wattled Lapwing,Vanellus malabaricus,yewlap2,Charadriiformes,Charadriidae (Plovers and Lapwings),Moderate,Moderate Decline,Strong Decline,Very Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Open Habitat,Resident,NA,NA,NA,Yellow-wattled Lapwing,Vanellus malabaricus,Yellow-wattled Lapwing,Vanellus malabaricus,Least Concern,Schedule-II,,Appendix II,70
Gray-headed Lapwing,Vanellus cinereus,gyhlap1,Charadriiformes,Charadriidae (Plovers and Lapwings),Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Grey-headed Lapwing,Vanellus cinereus,Grey-headed Lapwing,Vanellus cinereus,Least Concern,Schedule-II,,Appendix II,
Red-wattled Lapwing,Vanellus indicus,rewlap1,Charadriiformes,Charadriidae (Plovers and Lapwings),Low,Stable,Moderate Decline,Very Large,24 hour,24 hour,Invertebrate,No,No,No,None,None,Resident,NA,NA,NA,Red-wattled Lapwing,Vanellus indicus,Red-wattled Lapwing,Vanellus indicus,Least Concern,Schedule-II,,Appendix II,500
Sociable Lapwing,Vanellus gregarius,soclap1,Charadriiformes,Charadriidae (Plovers and Lapwings),High,Data Deficient,Data Deficient,Very Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,None,Open Habitat,Winter Migrant,1,NA,NA,Sociable Lapwing,Vanellus gregarius,Sociable Lapwing,Vanellus gregarius,Critically Endangered,Schedule-I,,Appendix I,
White-tailed Lapwing,Vanellus leucurus,whtlap1,Charadriiformes,Charadriidae (Plovers and Lapwings),Moderate,Uncertain,Strong Decline,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,White-tailed Lapwing,Vanellus leucurus,White-tailed Lapwing,Vanellus leucurus,Least Concern,Schedule-II,,Appendix II,
Lesser Sand-Plover,Charadrius mongolus,lesplo,Charadriiformes,Charadriidae (Plovers and Lapwings),Moderate,Strong Decline,Uncertain,Moderate,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant & Localized Summer Migrant,NA,NA,NA,Lesser Sand Plover,Charadrius mongolus,Lesser Sandplover,Charadrius mongolus,Least Concern,Schedule-II,,Appendix II,
Greater Sand-Plover,Charadrius leschenaultii,grsplo,Charadriiformes,Charadriidae (Plovers and Lapwings),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Greater Sand Plover,Charadrius leschenaultii,Greater Sandplover,Charadrius leschenaultii,Least Concern,Schedule-II,,Appendix II,1000
Caspian Plover,Charadrius asiaticus,casplo1,Charadriiformes,Charadriidae (Plovers and Lapwings),NA,NA,NA,NA,24 hour,24 hour,Invertebrate,No,No,No,None,Open Habitat,Winter Migrant,NA,NA,NA,Caspian Plover,Charadrius asiaticus,Caspian Plover,Charadrius asiaticus,Least Concern,Schedule-II,,Appendix II,
Kentish Plover,Charadrius alexandrinus,kenplo1,Charadriiformes,Charadriidae (Plovers and Lapwings),Moderate,Strong Decline,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Resident & Winter Migrant,1,NA,NA,Kentish Plover,Charadrius alexandrinus,Kentish Plover,Charadrius alexandrinus,Least Concern,Schedule-II,,Appendix II,800
Common Ringed Plover,Charadrius hiaticula,corplo,Charadriiformes,Charadriidae (Plovers and Lapwings),NA,NA,NA,NA,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Common Ringed Plover,Charadrius hiaticula,Common Ringed Plover,Charadrius hiaticula,Least Concern,Schedule-II,,Appendix II,
Long-billed Plover,Charadrius placidus,lobplo1,Charadriiformes,Charadriidae (Plovers and Lapwings),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Resident & Winter Migrant,1,NA,NA,Long-billed Plover,Charadrius placidus,Long-billed Plover,Charadrius placidus,Least Concern,Schedule-II,,Appendix II,
Little Ringed Plover,Charadrius dubius,lirplo,Charadriiformes,Charadriidae (Plovers and Lapwings),Moderate,Moderate Decline,Moderate Decline,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Open Habitat,Resident & Winter Migrant,NA,NA,NA,Little Ringed Plover,Charadrius dubius,Little Ringed Plover,Charadrius dubius,Least Concern,Schedule-II,,Appendix II,1000
Oriental Plover,Charadrius veredus,oriplo1,Charadriiformes,Charadriidae (Plovers and Lapwings),NA,NA,NA,NA,24 hour,24 hour,Invertebrate,No,No,No,None,Open Habitat,Uncertain,NA,1,NA,Oriental Plover,Charadrius veredus,Oriental Plover,Charadrius veredus,Least Concern,Schedule-II,,Appendix II,
Greater Painted-Snipe,Rostratula benghalensis,grpsni1,Charadriiformes,Rostratulidae (Painted-Snipes),Moderate,Moderate Decline,Uncertain,Large,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Resident,NA,NA,NA,Greater Painted-snipe,Rostratula benghalensis,Greater Painted-snipe,Rostratula benghalensis,Least Concern,Schedule-II,,,
Pheasant-tailed Jacana,Hydrophasianus chirurgus,phtjac1,Charadriiformes,Jacanidae (Jacanas),Moderate,Moderate Decline,Uncertain,Very Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Resident,NA,NA,NA,Pheasant-tailed Jacana,Hydrophasianus chirurgus,Pheasant-tailed Jacana,Hydrophasianus chirurgus,Least Concern,Schedule-II,,,1200
Bronze-winged Jacana,Metopidius indicus,brwjac1,Charadriiformes,Jacanidae (Jacanas),Low,Stable,Moderate Decline,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Wetland,Resident,NA,NA,NA,Bronze-winged Jacana,Metopidius indicus,Bronze-winged Jacana,Metopidius indicus,Least Concern,Schedule-II,,,710
Whimbrel,Numenius phaeopus,whimbr,Charadriiformes,Scolopacidae (Sandpipers and Allies),Moderate,Strong Decline,Uncertain,Moderate,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Whimbrel,Numenius phaeopus,Whimbrel,Numenius phaeopus,Least Concern,Schedule-II,,Appendix II,1000
Eurasian Curlew,Numenius arquata,eurcur,Charadriiformes,Scolopacidae (Sandpipers and Allies),Moderate,Strong Decline,Uncertain,Moderate,24 hour,24 hour,Omnivore,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Eurasian Curlew,Numenius arquata,Eurasian Curlew,Numenius arquata,Near Threatened,Schedule-II,,Appendix II,1000
Bar-tailed Godwit,Limosa lapponica,batgod,Charadriiformes,Scolopacidae (Sandpipers and Allies),Moderate,Data Deficient,Uncertain,Moderate,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Bar-tailed Godwit,Limosa lapponica,Bar-tailed Godwit,Limosa lapponica,Near Threatened,Schedule-II,,Appendix II,
Black-tailed Godwit,Limosa limosa,bktgod,Charadriiformes,Scolopacidae (Sandpipers and Allies),Low,Stable,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Black-tailed Godwit,Limosa limosa,Black-tailed Godwit,Limosa limosa,Near Threatened,Schedule-II,,Appendix II,
Ruddy Turnstone,Arenaria interpres,rudtur,Charadriiformes,Scolopacidae (Sandpipers and Allies),Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Ruddy Turnstone,Arenaria interpres,Ruddy Turnstone,Arenaria interpres,Least Concern,Schedule-II,,Appendix II,1000
Great Knot,Calidris tenuirostris,grekno,Charadriiformes,Scolopacidae (Sandpipers and Allies),High,Data Deficient,Data Deficient,Restricted,24 hour,24 hour,Omnivore,No,No,No,None,Wetland,Winter Migrant,1,NA,NA,Great Knot,Calidris tenuirostris,Great Knot,Calidris tenuirostris,Endangered,Schedule-I,,Appendix I,
Red Knot,Calidris canutus,redkno,Charadriiformes,Scolopacidae (Sandpipers and Allies),NA,NA,NA,NA,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Red Knot,Calidris canutus,Red Knot,Calidris canutus,Near Threatened,Schedule-II,,Appendix I,
Ruff,Calidris pugnax,ruff,Charadriiformes,Scolopacidae (Sandpipers and Allies),Low,Stable,Uncertain,Large,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Ruff,Calidris pugnax,Ruff,Calidris pugnax,Least Concern,Schedule-II,,Appendix II,1000
Broad-billed Sandpiper,Calidris falcinellus,brbsan,Charadriiformes,Scolopacidae (Sandpipers and Allies),Moderate,Data Deficient,Uncertain,Restricted,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Broad-billed Sandpiper,Calidris falcinellus,Broad-billed Sandpiper,Calidris falcinellus,Least Concern,Schedule-II,,Appendix II,
Sharp-tailed Sandpiper,Calidris acuminata,shtsan,Charadriiformes,Scolopacidae (Sandpipers and Allies),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Uncertain,NA,1,NA,Sharp-tailed Sandpiper,Calidris acuminata,Sharp-tailed Sandpiper,Calidris acuminata,Vulnerable,Schedule-II,,Appendix II,
Curlew Sandpiper,Calidris ferruginea,cursan,Charadriiformes,Scolopacidae (Sandpipers and Allies),Moderate,Strong Decline,Uncertain,Moderate,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Curlew Sandpiper,Calidris ferruginea,Curlew Sandpiper,Calidris ferruginea,Near Threatened,Schedule-II,,Appendix II,
Temminck's Stint,Calidris temminckii,temsti,Charadriiformes,Scolopacidae (Sandpipers and Allies),Moderate,Moderate Decline,Uncertain,Large,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Temminck's Stint,Calidris temminckii,Temminck's Stint,Calidris temminckii,Least Concern,Schedule-II,,Appendix II,1000
Long-toed Stint,Calidris subminuta,lotsti,Charadriiformes,Scolopacidae (Sandpipers and Allies),NA,NA,NA,NA,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Long-toed Stint,Calidris subminuta,Long-toed Stint,Calidris subminuta,Least Concern,Schedule-II,,Appendix II,
Spoon-billed Sandpiper,Calidris pygmaea,spbsan1,Charadriiformes,Scolopacidae (Sandpipers and Allies),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Uncertain,NA,NA,NA,Spoon-billed Sandpiper,Calidris pygmaea,Spoon-billed Sandpiper,Calidris pygmaea,Critically Endangered,Schedule-I,,Appendix I,
Red-necked Stint,Calidris ruficollis,rensti,Charadriiformes,Scolopacidae (Sandpipers and Allies),NA,NA,NA,NA,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Red-necked Stint,Calidris ruficollis,Red-necked Stint,Calidris ruficollis,Near Threatened,Schedule-II,,Appendix II,
Sanderling,Calidris alba,sander,Charadriiformes,Scolopacidae (Sandpipers and Allies),Moderate,Data Deficient,Strong Decline,Moderate,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Sanderling,Calidris alba,Sanderling,Calidris alba,Least Concern,Schedule-II,,Appendix II,1000
Dunlin,Calidris alpina,dunlin,Charadriiformes,Scolopacidae (Sandpipers and Allies),Moderate,Strong Decline,Uncertain,Moderate,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Dunlin,Calidris alpina,Dunlin,Calidris alpina,Least Concern,Schedule-II,,Appendix II,1000
Little Stint,Calidris minuta,litsti,Charadriiformes,Scolopacidae (Sandpipers and Allies),Moderate,Strong Decline,Uncertain,Large,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Little Stint,Calidris minuta,Little Stint,Calidris minuta,Least Concern,Schedule-II,,Appendix II,
Buff-breasted Sandpiper,Calidris subruficollis,bubsan,Charadriiformes,Scolopacidae (Sandpipers and Allies),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Open Habitat,Uncertain,NA,1,NA,Buff-breasted Sandpiper,Calidris subruficollis,Buff-breasted Sandpiper,Calidris subruficollis,Near Threatened,Schedule-II,,Appendix I,
Pectoral Sandpiper,Calidris melanotos,pecsan,Charadriiformes,Scolopacidae (Sandpipers and Allies),NA,NA,NA,NA,24 hour,Diurnal,Invertebrate,No,No,No,None,Wetland,Passage Migrant,NA,1,NA,Pectoral Sandpiper,Calidris melanotos,Pectoral Sandpiper,Calidris melanotos,Least Concern,Schedule-II,,Appendix II,
Asian Dowitcher,Limnodromus semipalmatus,asidow1,Charadriiformes,Scolopacidae (Sandpipers and Allies),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,1,NA,Asian Dowitcher,Limnodromus semipalmatus,Asian Dowitcher,Limnodromus semipalmatus,Near Threatened,Schedule-II,,Appendix II,
Long-billed Dowitcher,Limnodromus scolopaceus,lobdow,Charadriiformes,Scolopacidae (Sandpipers and Allies),NA,NA,NA,NA,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,1,NA,Long-billed Dowitcher,Limnodromus scolopaceus,Long-billed Dowitcher,Limnodromus scolopaceus,Least Concern,Schedule-II,,Appendix II,
Jack Snipe,Lymnocryptes minimus,jacsni,Charadriiformes,Scolopacidae (Sandpipers and Allies),NA,NA,NA,NA,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Jack Snipe,Lymnocryptes minimus,Jack Snipe,Lymnocryptes minimus,Least Concern,Schedule-II,,Appendix II,250
Eurasian Woodcock,Scolopax rusticola,eurwoo,Charadriiformes,Scolopacidae (Sandpipers and Allies),NA,NA,NA,NA,24 hour,24 hour,Invertebrate,No,No,No,None,Forest & Plantation,Local Migrant,NA,NA,NA,Eurasian Woodcock,Scolopax rusticola,Eurasian Woodcock,Scolopax rusticola,Least Concern,Schedule-II,,Appendix II,
Solitary Snipe,Gallinago solitaria,solsni1,Charadriiformes,Scolopacidae (Sandpipers and Allies),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Open Habitat,Resident & Winter Migrant,NA,NA,NA,Solitary Snipe,Gallinago solitaria,Solitary Snipe,Gallinago solitaria,Least Concern,Schedule-II,,Appendix II,1000
Wood Snipe,Gallinago nemoricola,woosni1,Charadriiformes,Scolopacidae (Sandpipers and Allies),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Forest,Winter Migrant,NA,NA,NA,Wood Snipe,Gallinago nemoricola,Wood Snipe,Gallinago nemoricola,Vulnerable,Schedule-I,,Appendix II,70
Great Snipe,Gallinago media,gresni1,Charadriiformes,Scolopacidae (Sandpipers and Allies),NA,NA,NA,NA,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Uncertain,NA,NA,NA,Great Snipe,Gallinago media,Great Snipe,Gallinago media,Near Threatened,Schedule-II,,Appendix II,
Common Snipe,Gallinago gallinago,comsni,Charadriiformes,Scolopacidae (Sandpipers and Allies),Low,Stable,Uncertain,Large,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Common Snipe,Gallinago gallinago,Common Snipe,Gallinago gallinago,Least Concern,Schedule-II,,Appendix II,10000
Pin-tailed Snipe,Gallinago stenura,pitsni,Charadriiformes,Scolopacidae (Sandpipers and Allies),Moderate,Moderate Decline,Uncertain,Moderate,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Pintail Snipe,Gallinago stenura,Pintail Snipe,Gallinago stenura,Least Concern,Schedule-II,,Appendix II,10000
Swinhoe's Snipe,Gallinago megala,swisni1,Charadriiformes,Scolopacidae (Sandpipers and Allies),NA,NA,NA,NA,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Swinhoe's Snipe,Gallinago megala,Swinhoe's Snipe,Gallinago megala,Least Concern,Schedule-II,,Appendix II,1000
Terek Sandpiper,Xenus cinereus,tersan,Charadriiformes,Scolopacidae (Sandpipers and Allies),Low,Data Deficient,Uncertain,Moderate,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Terek Sandpiper,Xenus cinereus,Terek Sandpiper,Xenus cinereus,Least Concern,Schedule-II,,Appendix II,1000
Red-necked Phalarope,Phalaropus lobatus,renpha,Charadriiformes,Scolopacidae (Sandpipers and Allies),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Red-necked Phalarope,Phalaropus lobatus,Red-necked Phalarope,Phalaropus lobatus,Least Concern,Schedule-II,,Appendix II,
Red Phalarope,Phalaropus fulicarius,redpha1,Charadriiformes,Scolopacidae (Sandpipers and Allies),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Passage Migrant,NA,1,NA,Red Phalarope,Phalaropus fulicarius,Red Phalarope,Phalaropus fulicarius,Least Concern,Schedule-II,,Appendix II,
Common Sandpiper,Actitis hypoleucos,comsan,Charadriiformes,Scolopacidae (Sandpipers and Allies),Moderate,Moderate Decline,Strong Decline,Large,24 hour,24 hour,Omnivore,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Common Sandpiper,Actitis hypoleucos,Common Sandpiper,Actitis hypoleucos,Least Concern,Schedule-II,,Appendix II,710
Green Sandpiper,Tringa ochropus,grnsan,Charadriiformes,Scolopacidae (Sandpipers and Allies),Moderate,Moderate Decline,Uncertain,Very Large,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Green Sandpiper,Tringa ochropus,Green Sandpiper,Tringa ochropus,Least Concern,Schedule-II,,Appendix II,1000
Gray-tailed Tattler,Tringa brevipes,gyttat1,Charadriiformes,Scolopacidae (Sandpipers and Allies),NA,NA,NA,NA,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Uncertain,NA,1,NA,Grey-tailed Tattler,Tringa brevipes,Grey-tailed Tattler,Tringa brevipes,Near Threatened,Schedule-II,,Appendix II,
Spotted Redshank,Tringa erythropus,spored,Charadriiformes,Scolopacidae (Sandpipers and Allies),Low,Uncertain,Uncertain,Large,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Spotted Redshank,Tringa erythropus,Spotted Redshank,Tringa erythropus,Least Concern,Schedule-II,,Appendix II,250
Common Greenshank,Tringa nebularia,comgre,Charadriiformes,Scolopacidae (Sandpipers and Allies),High,Strong Decline,Moderate Decline,Large,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Common Greenshank,Tringa nebularia,Common Greenshank,Tringa nebularia,Least Concern,Schedule-I,,Appendix II,710
Nordmann's Greenshank,Tringa guttifer,norgre1,Charadriiformes,Scolopacidae (Sandpipers and Allies),NA,NA,NA,NA,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Nordmann's Greenshank,Tringa guttifer,Spotted Greenshank,Tringa guttifer,Endangered,Recent addition,Appendix I,Appendix I,
Marsh Sandpiper,Tringa stagnatilis,marsan,Charadriiformes,Scolopacidae (Sandpipers and Allies),Moderate,Moderate Decline,Uncertain,Large,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Marsh Sandpiper,Tringa stagnatilis,Marsh Sandpiper,Tringa stagnatilis,Least Concern,Schedule-II,,Appendix II,1000
Wood Sandpiper,Tringa glareola,woosan,Charadriiformes,Scolopacidae (Sandpipers and Allies),Low,Stable,Moderate Decline,Very Large,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Wood Sandpiper,Tringa glareola,Wood Sandpiper,Tringa glareola,Least Concern,Schedule-II,,Appendix II,1400
Common Redshank,Tringa totanus,comred1,Charadriiformes,Scolopacidae (Sandpipers and Allies),Moderate,Moderate Decline,Uncertain,Large,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Common Redshank,Tringa totanus,Common Redshank,Tringa totanus,Least Concern,Schedule-II,,Appendix II,1000
Small Buttonquail,Turnix sylvaticus,smabut2,Charadriiformes,Turnicidae (Buttonquail),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Grassland & Scrub,Local Migrant,NA,NA,NA,Small Buttonquail,Turnix sylvaticus,Common Buttonquail,Turnix sylvaticus,Least Concern,Schedule-II,,,
Yellow-legged Buttonquail,Turnix tanki,yelbut1,Charadriiformes,Turnicidae (Buttonquail),Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Plant & Seed,No,No,No,None,None,Resident & Within-India Migrant,1,NA,NA,Yellow-legged Buttonquail,Turnix tanki,Yellow-legged Buttonquail,Turnix tanki,Least Concern,Schedule-II,,,
Barred Buttonquail,Turnix suscitator,barbut1,Charadriiformes,Turnicidae (Buttonquail),Low,Uncertain,Uncertain,Large,24 hour,Diurnal,Plant & Seed,No,No,No,None,Grassland & Scrub,Resident,NA,NA,NA,Barred Buttonquail,Turnix suscitator,Barred Buttonquail,Turnix suscitator,Least Concern,Schedule-II,,,
Crab-Plover,Dromas ardeola,craplo1,Charadriiformes,Dromadidae (Crab-Plover),NA,NA,NA,NA,24 hour,24 hour,Invertebrate,No,No,No,None,Wetland,Winter Migrant,1,NA,NA,Crab-plover,Dromas ardeola,Crab-plover,Dromas ardeola,Least Concern,Schedule-II,,Appendix II,
Cream-colored Courser,Cursorius cursor,crccou1,Charadriiformes,Glareolidae (Pratincoles and Coursers),NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,None,Grassland,Resident & Winter Migrant,NA,NA,NA,Cream-coloured Courser,Cursorius cursor,Cream-coloured Courser,Cursorius cursor,Least Concern,Schedule-II,,,
Indian Courser,Cursorius coromandelicus,indcou1,Charadriiformes,Glareolidae (Pratincoles and Coursers),Moderate,Moderate Decline,Strong Decline,Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Grassland,Resident,NA,NA,NA,Indian Courser,Cursorius coromandelicus,Indian Courser,Cursorius coromandelicus,Least Concern,Schedule-I,,,
Jerdon's Courser,Rhinoptilus bitorquatus,jercou1,Charadriiformes,Glareolidae (Pratincoles and Coursers),High,Data Deficient,Data Deficient,Data Deficient,Nocturnal,Nocturnal,Invertebrate,Yes,Yes,No,Eastern Andhra Pradesh,Forest,Resident,NA,NA,NA,Jerdon's Courser,Rhinoptilus bitorquatus,Jerdon's Courser,Rhinoptilus bitorquatus,Critically Endangered,Schedule-I,,,1
Collared Pratincole,Glareola pratincola,colpra,Charadriiformes,Glareolidae (Pratincoles and Coursers),NA,NA,NA,NA,24 hour,24 hour,Invertebrate,No,No,No,None,Open Habitat,Winter Migrant & Localized Summer Migrant,NA,NA,NA,Collared Pratincole,Glareola pratincola,Collared Pratincole,Glareola pratincola,Least Concern,Schedule-II,,Appendix II,
Oriental Pratincole,Glareola maldivarum,oripra,Charadriiformes,Glareolidae (Pratincoles and Coursers),Moderate,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Summer Migrant & Localized Winter Migrant,NA,NA,NA,Oriental Pratincole,Glareola maldivarum,Oriental Pratincole,Glareola maldivarum,Least Concern,Schedule-II,,,1000
Small Pratincole,Glareola lactea,smapra1,Charadriiformes,Glareolidae (Pratincoles and Coursers),Moderate,Strong Decline,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,None,Wetland,Resident,NA,NA,NA,Small Pratincole,Glareola lactea,Little Pratincole,Glareola lactea,Least Concern,Schedule-II,,,710
South Polar Skua,Stercorarius maccormicki,sopsku1,Charadriiformes,Stercorariidae (Skuas and Jaegers),NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Wetland,Summer Migrant,NA,1,NA,South Polar Skua,Stercorarius maccormicki,South Polar Skua,Catharacta maccormicki,Least Concern,Schedule-II,,Appendix II,
Brown Skua,Stercorarius antarcticus,brnsku3,Charadriiformes,Stercorariidae (Skuas and Jaegers),NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Wetland,Summer Migrant,NA,1,NA,Brown Skua,Stercorarius antarcticus,Brown Skua,Catharacta antarctica,Least Concern,Schedule-II,,Appendix II,
Pomarine Jaeger,Stercorarius pomarinus,pomjae,Charadriiformes,Stercorariidae (Skuas and Jaegers),NA,NA,NA,NA,Diurnal,Diurnal,Vertebrate & Carrion,No,No,No,None,Wetland,Winter Migrant,NA,NA,NA,Pomarine Skua,Stercorarius pomarinus,Pomarine Jaeger,Stercorarius pomarinus,Least Concern,Schedule-II,,Appendix II,
