"COMMON.NAME","SCIENTIFIC.NAME"
"Spotted Owlet","Athene brama"
"Spotted Redshank","Tringa erythropus"
"Steppe Eagle","Aquila nipalensis"
"Striated Heron","Butorides striata"
"Streak-throated Swallow","Petrochelidon fluvicola"
"Sykes's Nightjar","Caprimulgus mahrattensis"
"Sykes's Warbler","Iduna rama"
"Tawny-bellied Babbler","Dumetia hyperythra"
"Taiga Flycatcher","Ficedula albicilla"
"Tawny Pipit","Anthus campestris"
"Temminck's Stint","Calidris temminckii"
"Thick-billed Flowerpecker","Dicaeum agile"
"Tickell's Blue Flycatcher","Cyornis tickelliae"
"Tree Pipit","Anthus trivialis"
"Tricolored Munia","Lonchura malacca"
"Tufted Duck","Aythya fuligula"
"Ultramarine Flycatcher","Ficedula superciliaris"
"Variable Wheatear","Oenanthe picata"
"Eurasian Marsh-Harrier","Circus aeruginosus"
"Western Reef-Heron","Egretta gularis"
"White-browed Bushchat","Saxicola macrorhynchus"
"White-browed Fantail","Rhipidura aureola"
"White-browed Wagtail","Motacilla maderaspatensis"
"White-breasted Waterhen","Amaurornis phoenicurus"
"White-eared Bulbul","Pycnonotus leucotis"
"White-eyed Buzzard","Butastur teesa"
"White Stork","Ciconia ciconia"
"Whiskered Tern","Chlidonias hybrida"
"White Wagtail","Motacilla alba"
"White-rumped Vulture","Gyps bengalensis"
"White-throated Kingfisher","Halcyon smyrnensis"
"White-tailed Lapwing","Vanellus leucurus"
"Wire-tailed Swallow","Hirundo smithii"
"Woolly-necked Stork","Ciconia episcopus"
"Wood Sandpiper","Tringa glareola"
"Yellow-crowned Woodpecker","Leiopicus mahrattensis"
"Yellow-eyed Babbler","Chrysomma sinense"
"Yellow-footed Green-Pigeon","Treron phoenicopterus"
"Yellow Bittern","Ixobrychus sinensis"
"Yellow-wattled Lapwing","Vanellus malabaricus"
"Zitting Cisticola","Cisticola juncidis"
"Alpine Swift","Apus melba"
"Bar-tailed Godwit","Limosa lapponica"
"Black-crowned Night-Heron","Nycticorax nycticorax"
"Black-bellied Plover","Pluvialis squatarola"
"Black Francolin","Francolinus francolinus"
"Brahminy Kite","Haliastur indus"
"Broad-billed Sandpiper","Calidris falcinellus"
"Cinereous Vulture","Aegypius monachus"
"Common Tern","Sterna hirundo"
"Cream-colored Courser","Cursorius cursor"
"Curlew Sandpiper","Calidris ferruginea"
"Delicate Prinia","Prinia lepida"
"Eurasian Oystercatcher","Haematopus ostralegus"
"Greater Hoopoe-Lark","Alaemon alaudipes"
"Green Warbler","Phylloscopus nitidus"
"Greater Sand-Plover","Charadrius leschenaultii"
"Striolated Bunting","Emberiza striolata"
"Hypocolius","Hypocolius ampelinus"
"Jungle Prinia","Prinia sylvatica"
"Laughing Dove","Streptopelia senegalensis"
"Lesser Crested Tern","Thalasseus bengalensis"
"Painted Sandgrouse","Pterocles indicus"
"Persian Wheatear","Oenanthe chrysopygia"
"Ruddy Turnstone","Arenaria interpres"
"Sanderling","Calidris alba"
"Sandwich Tern","Thalasseus sandvicensis"
"Savanna Nightjar","Caprimulgus affinis"
"Spotted Sandgrouse","Pterocles senegallus"
"Streaked Weaver","Ploceus manyar"
"Tawny Lark","Galerida deva"
"Terek Sandpiper","Xenus cinereus"
"Trumpeter Finch","Bucanetes githagineus"
"White-bellied Minivet","Pericrocotus erythropygius"
"Whimbrel","Numenius phaeopus"
"White-tailed Iora","Aegithina nigrolutea"
"White-naped Tit","Machlolophus nuchalis"
"Asian Brown Flycatcher","Muscicapa dauurica"
"Asian Fairy-bluebird","Irena puella"
"Ashy Drongo","Dicrurus leucophaeus"
"Ashy Woodswallow","Artamus fuscus"
"Fork-tailed Drongo-Cuckoo","Surniculus dicruroides"
"Banded Bay Cuckoo","Cacomantis sonneratii"
"Blue-bearded Bee-eater","Nyctyornis athertoni"
"Blue-capped Rock-Thrush","Monticola cinclorhyncha"
"Flame-throated Bulbul","Rubigula gularis"
"Black-headed Cuckooshrike","Lalage melanoptera"
"Black Eagle","Ictinaetus malaiensis"
"Blue-eared Kingfisher","Alcedo meninting"
"Black-hooded Oriole","Oriolus xanthornus"
"Black-naped Monarch","Hypothymis azurea"
"Brown-capped Pygmy Woodpecker","Yungipicus nanus"
"Brown-breasted Flycatcher","Muscicapa muttui"
"Brown-cheeked Fulvetta","Alcippe poioicephala"
"Brown Fish-Owl","Ketupa zeylonensis"
"Brown Boobook","Ninox scutulata"
"Brown Shrike","Lanius cristatus"
"Bronzed Drongo","Dicrurus aeneus"
"Brown Wood-Owl","Strix leptogrammica"
"Bar-winged Flycatcher-shrike","Hemipus picatus"
"Sri Lanka Frogmouth","Batrachostomus moniliger"
"Chestnut-headed Bee-eater","Merops leschenaulti"
"Chestnut-tailed Starling","Sturnia malabarica"
"Crimson-backed Sunbird","Leptocoma minima"
"Crested Goshawk","Accipiter trivirgatus"
"Crested Treeswift","Hemiprocne coronata"
"Malabar Barbet","Psilopogon malabaricus"
"Crested Serpent-Eagle","Spilornis cheela"
"Dark-fronted Babbler","Dumetia atriceps"
"Asian Emerald Dove","Chalcophaps indica"
"Indian Blackbird","Turdus simillimus"
"Forest Wagtail","Dendronanthus indicus"
"Golden-fronted Leafbird","Chloropsis aurifrons"
"Greater Flameback","Chrysocolaptes guttacristatus"
"Gray Junglefowl","Gallus sonneratii"
"Cinereous Tit","Parus cinereus"
"Green Imperial-Pigeon","Ducula aenea"
"Greater Racket-tailed Drongo","Dicrurus paradiseus"
"Jungle Nightjar","Caprimulgus indicus"
"Gray-headed Bulbul","Brachypodius priocephalus"
"Hair-crested Drongo","Dicrurus hottentottus"
"Heart-spotted Woodpecker","Hemicircus canente"
"Indian Blue Robin","Larvivora brunnea"
"Indian Pitta","Pitta brachyura"
"Indian Swiftlet","Aerodramus unicolor"
"Indian Yellow Tit","Machlolophus aplonotus"
"Indian Scimitar-Babbler","Pomatorhinus horsfieldii"
"Jerdon's Leafbird","Chloropsis jerdoni"
"Jungle Myna","Acridotheres fuscus"
"Jungle Owlet","Glaucidium radiatum"
"Large Cuckooshrike","Coracina macei"
"Lesser Adjutant","Leptoptilos javanicus"
"Lesser Yellownape","Picus chlorolophus"
"Little Spiderhunter","Arachnothera longirostra"
"Loten's Sunbird","Cinnyris lotenius"
"Malabar Gray Hornbill","Ocyceros griseus"
"Malabar Lark","Galerida malabarica"
"Malabar Starling","Sturnia blythii"
"Malabar Trogon","Harpactes fasciatus"
"Malabar Pied-Hornbill","Anthracoceros coronatus"
"Malabar Whistling-Thrush","Myophonus horsfieldii"
"Mountain Imperial-Pigeon","Ducula badia"
"Nilgiri Wood-Pigeon","Columba elphinstonii"
"Olive-backed Pipit","Anthus hodgsoni"
"Orange-headed Thrush","Geokichla citrina"
"Oriental Skylark","Alauda gulgula"
"Oriental Turtle-Dove","Streptopelia orientalis"
"Pied Cuckoo","Clamator jacobinus"
"Gray-bellied Cuckoo","Cacomantis passerinus"
"Nilgiri Flowerpecker","Dicaeum concolor"
"Gray-fronted Green-Pigeon","Treron affinis"
"Puff-throated Babbler","Pellorneum ruficeps"
"Red Spurfowl","Galloperdix spadicea"
"Red-whiskered Bulbul","Pycnonotus jocosus"
"Rufous-bellied Eagle","Lophotriorchis kienerii"
"Rufous Woodpecker","Micropternus brachyurus"
"Rusty-tailed Flycatcher","Ficedula ruficauda"
"Orange Minivet","Pericrocotus flammeus"
"Southern Hill Myna","Gracula indica"
"Spot-breasted Fantail","Rhipidura albogularis"
"Speckled Piculet","Picumnus innominatus"
"Spotted Dove","Streptopelia chinensis"
"Square-tailed Bulbul","Hypsipetes ganeesa"
"Stork-billed Kingfisher","Pelargopsis capensis"
"Streak-throated Woodpecker","Picus xanthopygaeus"
"Tickell's Leaf Warbler","Phylloscopus affinis"
"Velvet-fronted Nuthatch","Sitta frontalis"
"Vernal Hanging-Parrot","Loriculus vernalis"
"Verditer Flycatcher","Eumyias thalassinus"
"White-bellied Sea-Eagle","Haliaeetus leucogaster"
"Western Crowned Warbler","Phylloscopus occipitalis"
"White-browed Bulbul","Pycnonotus luteolus"
"White-bellied Woodpecker","Dryocopus javensis"
"White-cheeked Barbet","Psilopogon viridis"
"White-rumped Munia","Lonchura striata"
"White-rumped Needletail","Zoonavena sylvatica"
"White-rumped Shama","Copsychus malabaricus"
"Changeable Hawk-Eagle","Nisaetus cirrhatus"
"Yellow-browed Bulbul","Iole indica"
"Asian Pied Starling","Gracupica contra"
"Black-crowned Sparrow-Lark","Eremopterix nigriceps"
"Black Bittern","Ixobrychus flavicollis"
"Common Raven","Corvus corax"
"Crested Bunting","Emberiza lathami"
"Desert Lark","Ammomanes deserti"
"Gray-headed Lapwing","Vanellus cinereus"
"Himalayan Griffon","Gyps himalayensis"
"Indian Skimmer","Rynchops albicollis"
"Jungle Bush-Quail","Perdicula asiatica"
"Red-headed Vulture","Sarcogyps calvus"
"Sulphur-bellied Warbler","Phylloscopus griseolus"
"Water Rail","Rallus aquaticus"
"White-naped Woodpecker","Chrysocolaptes festivus"
"Aberrant Bush Warbler","Horornis flavolivaceus"
"Alpine Accentor","Prunella collaris"
"Alpine Thrush","Zoothera mollissima"
"Asian Barred Owlet","Glaucidium cuculoides"
"Ashy Bulbul","Hemixos flavala"
"Ashy-throated Warbler","Phylloscopus maculipennis"
"Barred Cuckoo-Dove","Macropygia unchall"
"Beautiful Sibia","Heterophasia pulchella"
"Black-eared Shrike-Babbler","Pteruthius melanotis"
"Black-headed Shrike-Babbler","Pteruthius rufiventer"
"Black-winged Cuckooshrike","Lalage melaschistos"
"Black Bulbul","Hypsipetes leucocephalus"
"Black-backed Forktail","Enicurus immaculatus"
"Black-faced Laughingthrush","Trochalopteron affine"
"Blue-fronted Redstart","Phoenicurus frontalis"
"Black-faced Warbler","Abroscopus schisticeps"
"Blue-throated Barbet","Psilopogon asiaticus"
"Black-throated Parrotbill","Suthora nipalensis"
"Black-throated Sunbird","Aethopyga saturata"
"Black-throated Tit","Aegithalos concinnus"
"Blue-winged Minla","Actinodura cyanouroptera"
"Blue Whistling-Thrush","Myophonus caeruleus"
"Blyth's Leaf Warbler","Phylloscopus reguloides"
"Blyth's Shrike-Babbler","Pteruthius aeralatus"
"Blyth's Tragopan","Tragopan blythii"
"Brown Dipper","Cinclus pallasii"
"Buff-barred Warbler","Phylloscopus pulcher"
"Bar-winged Wren-Babbler","Spelaeornis troglodytoides"
"Chestnut-bellied Rock-Thrush","Monticola rufiventris"
"Coral-billed Scimitar-Babbler","Pomatorhinus ferruginosus"
"Cachar Wedge-billed Babbler","Stachyris roberti"
"Chestnut-bellied Nuthatch","Sitta cinnamoventris"
"Chestnut-capped Babbler","Timalia pileata"
"Chestnut-crowned Laughingthrush","Trochalopteron erythrocephalum"
"Chestnut-crowned Warbler","Phylloscopus castaniceps"
"Chestnut-headed Tesia","Cettia castaneocoronata"
"Chinese Rubythroat","Calliope tschebaiewi"
"Chestnut-tailed Minla","Actinodura strigula"
"Collared Owlet","Taenioptynx brodiei"
"Himalayan Buzzard","Buteo refectus"
"Common Merganser","Mergus merganser"
"Collared Scops-Owl","Otus lettia"
"Crimson-browed Finch","Carpodacus subhimachalus"
"Crimson-breasted Woodpecker","Dryobates cathpharius"
"Crested Kingfisher","Megaceryle lugubris"
"Himalayan Cutia","Cutia nipalensis"
"Dark-breasted Rosefinch","Procarduelis nipalensis"
"Dark-rumped Rosefinch","Carpodacus edwardsii"
"Daurian Redstart","Phoenicurus auroreus"
"Crimson Sunbird","Aethopyga siparaja"
"Eurasian Jay","Garrulus glandarius"
"Eurasian Tree Sparrow","Passer montanus"
"Eyebrowed Thrush","Turdus obscurus"
"Fire-breasted Flowerpecker","Dicaeum ignipectus"
"Fire-tailed Myzornis","Myzornis pyrrhoura"
"Fulvous-breasted Woodpecker","Dendrocopos macei"
"Greater Necklaced Laughingthrush","Pterorhinus pectoralis"
"Yellow-billed Blue-Magpie","Urocissa flavirostris"
"Golden Bush-Robin","Tarsiger chrysaeus"
"Golden Babbler","Cyanoderma chrysaeum"
"Gold-naped Finch","Pyrrhoplectes epauletta"
"Golden-throated Barbet","Psilopogon franklinii"
"Green-billed Malkoha","Phaenicophaeus tristis"
"Green-backed Tit","Parus monticolus"
"Great Barbet","Psilopogon virens"
"Common Green-Magpie","Cissa chinensis"
"Greater Yellownape","Chrysophlegma flavinucha"
"Green Shrike-Babbler","Pteruthius xanthochlorus"
"Green-tailed Sunbird","Aethopyga nipalensis"
"Gray Bushchat","Saxicola ferreus"
"Gray Treepie","Dendrocitta formosae"
"Gray-backed Shrike","Lanius tephronotus"
"Gray-bellied Tesia","Tesia cyaniventer"
"Gray-chinned Minivet","Pericrocotus solaris"
"Gray-cheeked Warbler","Phylloscopus poliogenys"
"Gray-capped Pygmy Woodpecker","Yungipicus canicapillus"
"Gray-headed Woodpecker","Picus canus"
"Gray-hooded Warbler","Phylloscopus xanthoschistos"
"Gray-sided Bush Warbler","Cettia brunnifrons"
"Gray-throated Babbler","Stachyris nigriceps"
"Gray-winged Blackbird","Turdus boulboul"
"Common Hill Myna","Gracula religiosa"
"Hill Partridge","Arborophila torqueola"
"Himalayan Bluetail","Tarsiger rufilatus"
"Himalayan Owl","Strix nivicolum"
"Himalayan Swiftlet","Aerodramus brevirostris"
"Ibisbill","Ibidorhyncha struthersii"
"Indochinese Roller","Coracias affinis"
"Jerdon's Babbler","Chrysomma altirostre"
"Kalij Pheasant","Lophura leucomelanos"
"Large Hawk-Cuckoo","Hierococcyx sparverioides"
"Large Niltava","Niltava grandis"
"Large Woodshrike","Tephrodornis virgatus"
"Large-tailed Nightjar","Caprimulgus macrurus"
"Lesser Coucal","Centropus bengalensis"
"Lineated Barbet","Psilopogon lineatus"
"Little Bunting","Emberiza pusilla"
"Little Forktail","Enicurus scouleri"
"Long-billed Thrush","Zoothera monticola"
"Long-tailed Broadbill","Psarisomus dalhousiae"
"Long-tailed Minivet","Pericrocotus ethologus"
"Lesser Racket-tailed Drongo","Dicrurus remifer"
"Brown-throated Fulvetta","Fulvetta ludlowi"
"Marsh Babbler","Pellorneum palustre"
"Maroon Oriole","Oriolus traillii"
"Mishmi Wren-Babbler","Spelaeornis badeigularis"
"Mountain Scops-Owl","Otus spilocephalus"
"Mountain Bulbul","Ixos mcclellandii"
"Mountain Hawk-Eagle","Nisaetus nipalensis"
"Nepal Fulvetta","Alcippe nipalensis"
"Nepal House-Martin","Delichon nipalense"
"Orange-bellied Leafbird","Chloropsis hardwickii"
"Oriental Hobby","Falco severus"
"Oriental Scops-Owl","Otus sunia"
"Pale Blue Flycatcher","Cyornis unicolor"
"Lemon-rumped Warbler","Phylloscopus chloronotus"
"Pin-tailed Green-Pigeon","Treron apicauda"
"Plaintive Cuckoo","Cacomantis merulinus"
"Plumbeous Redstart","Phoenicurus fuliginosus"
"Pygmy Flycatcher","Ficedula hodgsoni"
"Red-billed Leiothrix","Leiothrix lutea"
"Red Junglefowl","Gallus gallus"
"Red-headed Trogon","Harpactes erythrocephalus"
"Richard's Pipit","Anthus richardi"
"Rosy Pipit","Anthus roseatus"
"Rufous-breasted Accentor","Prunella strophiata"
"Rufous-bellied Niltava","Niltava sundara"
"Rufous-backed Sibia","Leioptila annectens"
"Rufous-bellied Woodpecker","Dendrocopos hyperythrus"
"Rufous-capped Babbler","Cyanoderma ruficeps"
"Ruby-cheeked Sunbird","Chalcoparia singalensis"
"Rusty-fronted Barwing","Actinodura egertoni"
"Rufous-faced Warbler","Abroscopus albogularis"
"Rufous-gorgeted Flycatcher","Ficedula strophiata"
"Rufous-necked Laughingthrush","Pterorhinus ruficollis"
"Rufous-throated Partridge","Arborophila rufogularis"
"Rufous-winged Fulvetta","Schoeniparus castaneceps"
"Slender-billed Scimitar-Babbler","Pomatorhinus superciliaris"
"Streak-breasted Scimitar-Babbler","Pomatorhinus ruficollis"
"Scaly-breasted Cupwing","Pnoepyga albiventer"
"Scarlet Finch","Carpodacus sipahi"
"Scaly Laughingthrush","Trochalopteron subunicolor"
"Scarlet Minivet","Pericrocotus speciosus"
"Scaly Thrush","Zoothera dauma"
"Siberian Rubythroat","Calliope calliope"
"Slaty-blue Flycatcher","Ficedula tricolor"
"Slaty-backed Forktail","Enicurus schistaceus"
"Slender-billed Vulture","Gyps tenuirostris"
"Small Niltava","Niltava macgrigoriae"
"Snowy-browed Flycatcher","Ficedula hyperythra"
"Spotted Bush Warbler","Locustella thoracica"
"Spotted Forktail","Enicurus maculatus"
"Spotted Laughingthrush","Ianthocincla ocellata"
"Spot-winged Starling","Saroglossa spilopterus"
"Striated Babbler","Argya earlei"
"Striated Bulbul","Pycnonotus striatus"
"Striated Grassbird","Megalurus palustris"
"Striated Laughingthrush","Grammatoptila striata"
"Streaked Spiderhunter","Arachnothera magna"
"Striated Yuhina","Staphida castaniceps"
"Pin-striped Tit-Babbler","Mixornis gularis"
"Streak-throated Barwing","Actinodura waldeni"
"Streak-throated Fulvetta","Fulvetta manipurensis"
"Stripe-throated Yuhina","Yuhina gularis"
"Sultan Tit","Melanochlora sultanea"
"Swamp Francolin","Ortygornis gularis"
"Wallcreeper","Tichodroma muraria"
"Wedge-tailed Green-Pigeon","Treron sphenurus"
"White-bellied Erpornis","Erpornis zantholeuca"
"White-crowned Forktail","Enicurus leschenaulti"
"White-crested Laughingthrush","Garrulax leucolophus"
"White-capped Redstart","Phoenicurus leucocephalus"
"White-gorgeted Flycatcher","Anthipes monileger"
"Whistler's Warbler","Phylloscopus whistleri"
"Whiskered Yuhina","Yuhina flavicollis"
"White-naped Yuhina","Yuhina bakeri"
"White-throated Bulbul","Alophoixus flaveolus"
"White-throated Fantail","Rhipidura albicollis"
"White-tailed Nuthatch","Sitta himalayensis"
"Great Myna","Acridotheres grandis"
"Eurasian Wren","Troglodytes troglodytes"
"Yellow-bellied Fairy-Fantail","Chelidorhynx hypoxanthus"
"Yellow-bellied Prinia","Prinia flaviventris"
"Yellow-browed Tit","Sylviparus modestus"
"Yellow-bellied Warbler","Abroscopus superciliaris"
"Yellow-cheeked Tit","Machlolophus spilonotus"
"Yellow-rumped Honeyguide","Indicator xanthonotus"
"Yellow-throated Fulvetta","Schoeniparus cinereus"
"Yellow-vented Warbler","Phylloscopus cantator"
"Brown-headed Barbet","Psilopogon zeylanicus"
