"eBird.English.Name.2024","eBird.Scientific.Name.2024","eBird.Code","Order","Family","SoIB.Past.Priority.Status","SoIB.Past.Long.Term.Status","SoIB.Past.Current.Status","SoIB.Past.Range.Status","Breeding.Activity.Period","Non.Breeding.Activity.Period","Diet.Guild","India.Endemic","Subcontinent.Endemic","Himalayas.Endemic","Endemic.Region","Habitat.Specialization","Migratory.Status.Within.India","Essential","Discard","Restricted.Islands","India.Checklist.Common.Name","India.Checklist.Scientific.Name","BLI.Common.Name","BLI.Scientific.Name","IUCN.Category","WPA.Schedule","CITES.Appendix","CMS.Appendix","Onepercent.Estimates","Long.Term.Analysis","Current.Analysis","Selected.SoIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km.latestyear","mean5km","ci5km","longtermlci","longtermmean","longtermrci","currentslopelci","currentslopemean","currentsloperci","proj2025.lci","proj2025.mean","proj2025.rci","proj2026.lci","proj2026.mean","proj2026.rci","proj2027.lci","proj2027.mean","proj2027.rci","proj2028.lci","proj2028.mean","proj2028.rci","proj2029.lci","proj2029.mean","proj2029.rci","proj2030.lci","proj2030.mean","proj2030.rci","proj2031.lci","proj2031.mean","proj2031.rci","proj2032.lci","proj2032.mean","proj2032.rci","rangemean","rangelci","rangerci"
"Mute Swan","Cygnus olor","mutswa","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"Mute Swan","Cygnus olor","Mute Swan","Cygnus olor","Least Concern","Schedule-II","","Appendix II",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tundra Swan","Cygnus columbianus","tunswa","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"No information","No information","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"Tundra Swan","Cygnus columbianus","Tundra Swan","Cygnus columbianus","Least Concern","Schedule-II","","Appendix II",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whooper Swan","Cygnus cygnus","whoswa","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"No information","No information","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"Whooper Swan","Cygnus cygnus","Whooper Swan","Cygnus cygnus","Least Concern","Schedule-II","","Appendix II",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Knob-billed Duck","Sarkidiornis melanotos","comduc2","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Moderate","Uncertain","Moderate Decline","Large","Diurnal","Diurnal","Plant & Seed","No","No","No","Non-endemic","Wetland","Resident",NA,NA,NA,"Knob-billed Duck","Sarkidiornis melanotos","Knob-billed Duck","Sarkidiornis melanotos","Least Concern","Schedule-II","Appendix II","Appendix II",250,"X","X","X",228,0.0701754385964912,0.387061403508772,0.600877192982456,10.0745614035088,0.691690573198368,58.9783382672869,83.1407810244107,114.756999412746,-4.35698506080273,-2.62857541262282,-0.900165764442908,57.5536440080807,68.9849420312915,82.8227759695905,54.4617811501944,67.0093514152398,82.6258072338897,51.509459683322,65.0982048575365,82.4988070253791,48.7023994007792,63.2492153266367,82.4239976516287,46.0405455626125,61.4601825043475,82.3901522173852,43.5207102192326,59.7289893142441,82.389902741932,41.1380151224009,58.0535985956648,82.4182501109494,38.8867065159495,56.4320499169283,82.4717053338363,172009,171872,172146
"Ruddy Shelduck","Tadorna ferruginea","rudshe","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Uncertain","Uncertain","Large","24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant & Localized Summer Migrant",NA,NA,NA,"Ruddy Shelduck","Tadorna ferruginea","Ruddy Shelduck","Tadorna ferruginea","Least Concern","Schedule-II","","Appendix II",500,"X","X","X",192,0.114583333333333,0.333333333333333,0.5,9.50520833333333,0.775433434355629,8.78465045594776,27.5965310939117,84.3010310412859,-9.68847622462194,-1.66876728807535,6.35094164847124,48.7587254334621,81.6520718593365,139.178661819163,44.6178314240706,80.4346657234449,148.426038976225,40.8447134039066,79.3929536950721,159.011392277336,37.427891142904,78.5198666227715,171.027549746625,34.344056031477,77.8093947327261,184.611553133333,31.5654661471271,77.2565198745978,199.939649838357,29.0636309615072,76.8571577859835,217.226894233849,26.8111152995326,76.6081094834648,236.729624556453,137879,137760,137998
"Common Shelduck","Tadorna tadorna","comshe","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Invertebrate","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Common Shelduck","Tadorna tadorna","Common Shelduck","Tadorna tadorna","Least Concern","Schedule-II","","Appendix II",1000,"","","",22,0.0909090909090909,0.136363636363636,0.0454545454545455,11.7272727272727,3.45113324303149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cotton Pygmy-Goose","Nettapus coromandelianus","copgoo1","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","High","Strong Decline","Strong Decline","Very Large","Diurnal","Diurnal","Plant & Seed","No","No","No","Non-endemic","Wetland","Resident",NA,NA,NA,"Cotton Pygmy-Goose","Nettapus coromandelianus","Cotton Pygmy-goose","Nettapus coromandelianus","Least Concern","Schedule-I","","Appendix II",1000,"","X","X",109,0.119266055045872,0.30045871559633,0.403669724770642,11.4770642201835,1.09841634235821,NA,NA,NA,-7.92252794883531,-5.50664104630402,-3.09075414377273,46.2033309116176,64.8798905638737,91.6768482722233,41.027568024267,60.4994249620384,89.9465259548639,36.4066910591602,56.4412564463081,88.4209602307634,32.297010178652,52.6800894998279,87.0561646442725,28.6502779522809,49.1927224379272,85.8237822999671,25.4186910823353,45.9578658872608,84.7046465887886,22.5571785090075,42.9559776758447,83.6852479723868,20.0243465378816,40.1691125906099,82.7557098558156,94920,94736,95104
"Mandarin Duck","Aix galericulata","manduc","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"Mandarin Duck","Aix galericulata","Mandarin Duck","Aix galericulata","Least Concern","Schedule-II","","Appendix II",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baikal Teal","Sibirionetta formosa","baitea","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"Baikal Teal","Sibirionetta formosa","Baikal Teal","Sibirionetta formosa","Least Concern","Schedule-II","Appendix II","Appendix I",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garganey","Spatula querquedula","gargan","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Stable","Uncertain","Large","24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Garganey","Spatula querquedula","Garganey","Spatula querquedula","Least Concern","Schedule-II","","Appendix II",NA,"","X","X",155,0.0774193548387097,0.349193548387097,0.541935483870968,10.9741935483871,0.875426825043138,NA,NA,NA,-9.94859274541202,-1.22443946136746,7.49971382267709,51.3527608776897,94.8900014506267,179.728808394102,46.665962147548,93.9885598823415,195.542633744364,42.4529970954691,93.3323009942438,213.874400688138,38.6906495026555,92.9158087110942,234.989935042986,35.3421657595427,92.7352754629215,259.243605275075,32.3667647234978,92.7884457927159,287.077117314263,29.7241839717725,93.0745750095091,319.025879887077,27.376753259572,93.594402130168,355.73081738652,144082,143910,144254
"Northern Shoveler","Spatula clypeata","norsho","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Stable","Uncertain","Large","24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Northern Shoveler","Spatula clypeata","Northern Shoveler","Spatula clypeata","Least Concern","Schedule-II","","Appendix II",NA,"X","X","X",230,0.147826086956522,0.392391304347826,0.517391304347826,9.52608695652174,0.714603442908584,21.2553116255438,31.6225302577636,46.1268347611042,-7.2071103546645,-5.70795890062367,-4.20880744658283,36.3513783827055,45.3665273565142,56.7777388711191,32.5168687279472,41.8980576438677,54.1861867585761,29.0704595403041,38.7024860299256,51.7702362749279,25.9814245201316,35.7577684533693,49.5039661640881,23.2173882816289,33.0436852948649,47.3692420095963,20.74675854618,30.5416869376224,45.3525891114924,18.5398314636346,28.234752679053,43.4434732112668,16.569238210733,26.1072618163952,41.6333112773847,162124,162004,162244
"Gadwall","Mareca strepera","gadwal","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Uncertain","Uncertain","Large","24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Gadwall","Mareca strepera","Gadwall","Mareca strepera","Least Concern","Schedule-II","","Appendix II",3000,"X","X","X",181,0.0773480662983425,0.347375690607735,0.475138121546961,10.2762430939227,0.830975138978137,46.4610771617933,72.1317006508921,110.751823893978,-6.44780421491985,-4.99953400084929,-3.55126378677873,45.110586899476,58.3386046471609,75.6474427507991,40.4835292164341,54.340770628704,73.1975348706979,36.3037092644946,50.6257615068682,70.915101410649,32.5406840254426,47.1729890953869,68.7687220003172,29.1600457903595,43.9634034291221,66.7375887722146,26.1270427425193,40.9793750494996,64.8071478330841,23.4083177487913,38.2045865010923,62.9667061451949,20.9727001562477,35.6239323034236,61.2080593949238,149137,148986,149288
"Falcated Duck","Mareca falcata","falduc","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",1,NA,NA,"Falcated Duck","Mareca falcata","Falcated Duck","Mareca falcata","Least Concern","Schedule-II","","Appendix II",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eurasian Wigeon","Mareca penelope","eurwig","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Uncertain","Uncertain","Large","24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Eurasian Wigeon","Mareca penelope","Eurasian Wigeon","Mareca penelope","Least Concern","Schedule-II","","Appendix II",2500,"X","X","X",165,0.121212121212121,0.331060606060606,0.460606060606061,10.830303030303,0.856986232122242,17.3999366718296,26.1212341224467,38.6664538482561,-5.72783368647045,-3.75374250289825,-1.77965131932604,52.1557665716665,66.8387961757942,85.9175393996722,48.006301847425,63.7656612490629,85.0386862931078,44.1579568502898,60.8470101332832,84.2740774711603,40.6032403089871,58.0745777813596,83.5966297505694,37.3279143522,55.4405642060957,82.989145006211,34.3147783714572,52.9376071483178,82.4402360204076,31.5456523705711,50.558756414914,81.9420805318317,29.0024298319881,48.2974497810977,81.4891307599924,130096,129909,130283
"Indian Spot-billed Duck","Anas poecilorhyncha","isbduc1","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Stable","Moderate Decline","Very Large","24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Resident",NA,NA,NA,"Indian Spot-billed Duck","Anas poecilorhyncha","Indian Spot-billed Duck","Anas poecilorhyncha","Least Concern","Schedule-II","","Appendix II",1000,"X","X","X",278,0.100719424460432,0.429406474820144,0.669064748201439,9.1294964028777,0.630528781993438,72.3954808204027,93.268653454718,119.638756635898,-2.85718881734073,-1.32738968149689,0.202409454346942,72.0112986169853,83.4352140090432,96.7647923317678,69.4801123399881,82.2355583506255,97.4560354953306,67.0073985669338,81.0590248415645,98.2160535516485,64.6043948552805,79.9051118349281,99.029342467972,62.2767430477833,78.7733298993906,99.8862059488029,60.0268553879281,77.6632014958567,100.780380216745,57.8552251066906,76.5742606632973,101.707714773099,55.7611803984877,75.5060527135203,102.665410198668,180102,180027,180177
"Eastern Spot-billed Duck","Anas zonorhyncha","spbduc","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Eastern Spot-billed Duck","Anas zonorhyncha","Eastern Spot-billed Duck","Anas zonorhyncha","Least Concern","Schedule-II","","Appendix II",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mallard","Anas platyrhynchos","mallar3","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Uncertain","Uncertain","Moderate","24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant & Localized Summer Migrant",NA,NA,NA,"Mallard","Anas platyrhynchos","Mallard","Anas platyrhynchos","Least Concern","Schedule-II","","Appendix II",NA,"","X","X",67,0.0597014925373134,0.255597014925373,0.223880597014925,12.4776119402985,1.52776873031108,NA,NA,NA,-12.1609358223034,-10.6308473818235,-9.1007589413436,6.13553051820478,13.3099796986576,29.4721925910614,4.35857623755687,10.564902229486,26.3064602643034,3.09255623432722,8.39660139484372,23.593219555274,2.19364087963198,6.68175162880606,21.2416120839896,1.55646103581926,5.32383269215932,19.1870348803411,1.10509538884534,4.2472132336181,17.3811382772204,0.785346034350602,3.39255912856358,15.7863136464527,0.558726300735498,2.71326594077316,14.3724558827688,51916,51685,52147
"Northern Pintail","Anas acuta","norpin","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Uncertain","Uncertain","Large","24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Northern Pintail","Anas acuta","Northern Pintail","Anas acuta","Least Concern","Schedule-II","","Appendix II",20000,"X","X","X",207,0.144927536231884,0.327294685990338,0.468599033816425,9.77777777777778,0.764160099298048,6.99892885177157,14.6615691242938,28.8195685411375,-8.17992455718063,-4.36065298489338,-0.541381412606126,43.5777706940835,62.8796482788825,91.5711042375578,39.1317047082129,59.527390537874,91.6524858172092,35.1258170982241,56.4025303477001,91.9703206972883,31.5314257325118,53.4878351334515,92.487122286646,28.3137762427551,50.7675027914439,93.1805877759677,25.4370158918132,48.227034215083,94.037490982792,22.8665680802184,45.8531178788435,95.0503344651014,20.5702059412369,43.6335252809605,96.2154403143633,154674,154533,154815
"Green-winged Teal","Anas crecca","gnwtea","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Uncertain","Uncertain","Large","24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Common Teal","Anas crecca","Common Teal","Anas crecca","Least Concern","Schedule-II","","Appendix II",NA,"X","X","X",217,0.142857142857143,0.346198156682028,0.516129032258065,9.7926267281106,0.724345738413005,14.3206431834447,27.8942354654519,54.18554752917,-7.33639864239374,-3.87378945985573,-0.411180277317713,40.1858381335845,57.8044203063409,83.8378996893492,36.3240602475772,55.0491893024873,84.3369715291397,32.8163910477164,52.4605255987197,85.0336204890288,29.644837921155,50.0273928293581,85.8964021326265,26.7847996401662,47.7395600959579,86.9070854046459,24.2096262979967,45.5875397768137,88.055337063919,21.8928800328161,43.5625304579979,89.3358070418739,19.8094303669132,41.6563645465804,90.7464679247845,158750,158607,158893
"Andaman Teal","Anas albogularis","andtea1","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","High","Data Deficient","Data Deficient","Restricted","24 hour","24 hour","Plant & Seed","No","No","No","Andaman Islands","Wetland","Resident",NA,NA,1,"Andaman Teal","Anas albogularis","Andaman Teal","Anas albogularis","Near Threatened","Schedule-I","","",7,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marbled Duck","Marmaronetta angustirostris","martea1","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"Diurnal","Diurnal","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",1,NA,NA,"Marbled Duck","Marmaronetta angustirostris","Marbled Duck","Marmaronetta angustirostris","Near Threatened","Schedule-I","","Appendix I",50,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pink-headed Duck","Rhodonessa caryophyllacea","pihduc1","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"No information","No information","Plant & Seed","No","No","No","Non-endemic","Wetland","Uncertain",NA,1,NA,"Pink-headed Duck","Rhodonessa caryophyllacea","Pink-headed Duck","Rhodonessa caryophyllacea","Critically Endangered","Schedule-I","Appendix I","Appendix II",1,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"White-winged Duck","Asarcornis scutulata","whwduc1","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","High","Data Deficient","Data Deficient","Restricted","24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Resident",1,NA,NA,"White-winged Wood-Duck","Asarcornis scutulata","White-winged Duck","Asarcornis scutulata","Critically Endangered","Schedule-I","Appendix I","Appendix II",5,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red-crested Pochard","Netta rufina","recpoc","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Uncertain","Uncertain","Large","Diurnal","Diurnal","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Red-crested Pochard","Netta rufina","Red-crested Pochard","Netta rufina","Least Concern","Schedule-II","","Appendix II",1000,"","","X",30,0.0666666666666667,0.225,0.166666666666667,12.2666666666667,2.16536662677536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24329,24228,24430
